freq(Hz)	3.00e+15	eps_r	4	mu_r	1	sigma	0.00e+00
theta(rad)	RCS(m^2)
0.000000000e+00	2.939496732e-11
1.050699884e-02	2.889713775e-11
2.101399768e-02	2.745072981e-11
3.152099652e-02	2.518990273e-11
4.202799537e-02	2.231613022e-11
5.253499421e-02	1.906980469e-11
6.304199305e-02	1.569874097e-11
7.354899189e-02	1.242918792e-11
8.405599073e-02	9.443747109e-12
9.456298957e-02	6.868583717e-12
1.050699884e-01	4.770148487e-12
1.155769873e-01	3.159894616e-12
1.260839861e-01	2.004509200e-12
1.365909849e-01	1.239010784e-12
1.470979838e-01	7.804680648e-13
1.576049826e-01	5.407355337e-13
1.681119815e-01	4.371908549e-13
1.786189803e-01	4.008542637e-13
1.891259791e-01	3.814932095e-13
1.996329780e-01	3.494894753e-13
2.101399768e-01	2.945003003e-13
2.206469757e-01	2.213315718e-13
2.311539745e-01	1.439012753e-13
2.416609734e-01	7.856114627e-14
2.521679722e-01	3.820105230e-14
2.626749710e-01	2.837756193e-14
2.731819699e-01	4.618755154e-14
2.836889687e-01	8.187080287e-14
2.941959676e-01	1.223794092e-13
3.047029664e-01	1.556247013e-13
3.152099652e-01	1.739786629e-13
3.257169641e-01	1.759241694e-13
3.362239629e-01	1.654280359e-13
3.467309618e-01	1.494333955e-13
3.572379606e-01	1.345469256e-13
3.677449595e-01	1.242755740e-13
3.782519583e-01	1.179213724e-13
3.887589571e-01	1.115425287e-13
3.992659560e-01	1.004967055e-13
4.097729548e-01	8.236558215e-14
4.202799537e-01	5.884477373e-14
4.307869525e-01	3.560524674e-14
4.412939513e-01	2.005071838e-14
4.518009502e-01	1.792424397e-14
4.623079490e-01	3.037638622e-14
4.728149479e-01	5.304025503e-14
4.833219467e-01	7.781889010e-14
4.938289455e-01	9.680293973e-14
5.043359444e-01	1.065847892e-13
5.148429432e-01	1.108060933e-13
5.253499421e-01	1.193703589e-13
5.358569409e-01	1.442028886e-13
5.463639398e-01	1.931365977e-13
5.568709386e-01	2.646402990e-13
5.673779374e-01	3.460633326e-13
5.778849363e-01	4.167320453e-13
5.883919351e-01	4.551042308e-13
5.988989340e-01	4.472090296e-13
6.094059328e-01	3.927344734e-13
6.199129316e-01	3.058884337e-13
6.304199305e-01	2.103275125e-13
6.409269293e-01	1.301033539e-13
