freq(Hz)	1.00e+09	eps_r	4	mu_r	1	sigma	0.00e+00
theta(rad)	RCS(m^2)
0.000000000e+00	7.920332697e+00
1.050699884e-02	7.899709116e+00
2.101399768e-02	7.838030362e+00
3.152099652e-02	7.735872392e+00
4.202799537e-02	7.594195092e+00
5.253499421e-02	7.414342201e+00
6.304199305e-02	7.198041157e+00
7.354899189e-02	6.947402636e+00
8.405599073e-02	6.664919431e+00
9.456298957e-02	6.353463937e+00
1.050699884e-01	6.016283238e+00
1.155769873e-01	5.656990356e+00
1.260839861e-01	5.279549884e+00
1.365909849e-01	4.888255935e+00
1.470979838e-01	4.487700158e+00
1.576049826e-01	4.082727600e+00
1.681119815e-01	3.678378421e+00
1.786189803e-01	3.279813987e+00
1.891259791e-01	2.892226585e+00
1.996329780e-01	2.520733038e+00
2.101399768e-01	2.170253689e+00
2.206469757e-01	1.845379563e+00
2.311539745e-01	1.550231906e+00
2.416609734e-01	1.288319626e+00
2.521679722e-01	1.062401315e+00
2.626749710e-01	8.743593859e-01
2.731819699e-01	7.250943333e-01
2.836889687e-01	6.144470782e-01
2.941959676e-01	5.411568053e-01
3.047029664e-01	5.028605449e-01
3.152099652e-01	4.961390484e-01
3.257169641e-01	5.166113129e-01
3.362239629e-01	5.590775102e-01
3.467309618e-01	6.177072282e-01
3.572379606e-01	6.862669984e-01
3.677449595e-01	7.583782579e-01
3.782519583e-01	8.277943780e-01
3.887589571e-01	8.886833784e-01
3.992659560e-01	9.359016130e-01
4.097729548e-01	9.652431975e-01
4.202799537e-01	9.736503473e-01
4.307869525e-01	9.593711448e-01
4.412939513e-01	9.220535321e-01
4.518009502e-01	8.627674388e-01
4.623079490e-01	7.839507623e-01
4.728149479e-01	6.892792007e-01
4.833219467e-01	5.834644619e-01
4.938289455e-01	4.719898431e-01
5.043359444e-01	3.607963167e-01
5.148429432e-01	2.559357775e-01
5.253499421e-01	1.632107525e-01
5.358569409e-01	8.782143687e-02
5.463639398e-01	3.404125035e-02
5.568709386e-01	4.941130543e-03
5.673779374e-01	2.180506963e-03
5.778849363e-01	2.587941981e-02
5.883919351e-01	7.458174083e-02
5.988989340e-01	1.453141670e-01
6.094059328e-01	2.337399008e-01
6.199129316e-01	3.344000559e-01
6.304199305e-01	4.410301978e-01
6.409269293e-01	5.469344239e-01
6.514339282e-01	6.453953288e-01
6.619409270e-01	7.300953859e-01
6.724479259e-01	7.955239178e-01
6.829549247e-01	8.373440500e-01
6.934619235e-01	8.526958734e-01
7.039689224e-01	8.404154145e-01
7.144759212e-01	8.011537396e-01
7.249829201e-01	7.373863488e-01
7.354899189e-01	6.533095931e-01
7.459969177e-01	5.546277808e-01
7.565039166e-01	4.482414938e-01
7.670109154e-01	3.418539815e-01
7.775179143e-01	2.435179184e-01
7.880249131e-01	1.611489592e-01
7.985319119e-01	1.020350980e-01
8.090389108e-01	7.237166207e-02
8.195459096e-01	7.685075709e-02
8.300529085e-01	1.183311640e-01
8.405599073e-01	1.976102177e-01
8.510669062e-01	3.133133321e-01
8.615739050e-01	4.619099181e-01
8.720809038e-01	6.378568925e-01
8.825879027e-01	8.338632599e-01
8.930949015e-01	1.041261843e+00
9.036019004e-01	1.250467600e+00
9.141088992e-01	1.451496540e+00
9.246158980e-01	1.634515329e+00
9.351228969e-01	1.790389602e+00
9.456298957e-01	1.911198800e+00
9.561368946e-01	1.990687157e+00
9.666438934e-01	2.024624118e+00
9.771508923e-01	2.011052709e+00
9.876578911e-01	1.950411030e+00
9.981648899e-01	1.845519511e+00
1.008671889e+00	1.701434556e+00
1.019178888e+00	1.525177082e+00
1.029685886e+00	1.325351890e+00
1.040192885e+00	1.111680168e+00
1.050699884e+00	8.944724754e-01
1.061206883e+00	6.840729125e-01
1.071713882e+00	4.903066436e-01
1.082220881e+00	3.219624744e-01
1.092727880e+00	1.863397967e-01
1.103234878e+00	8.888507834e-02
1.113741877e+00	3.293746957e-02
1.124248876e+00	1.959637093e-02
1.134755875e+00	4.771640008e-02
1.145262874e+00	1.140275621e-01
1.155769873e+00	2.133710504e-01
1.166276871e+00	3.390344350e-01
1.176783870e+00	4.831644292e-01
1.187290869e+00	6.372313019e-01
1.197797868e+00	7.925165347e-01
1.208304867e+00	9.405946546e-01
1.218811866e+00	1.073781290e+00
1.229318864e+00	1.185522308e+00
1.239825863e+00	1.270703183e+00
1.250332862e+00	1.325863195e+00
1.260839861e+00	1.349305336e+00
1.271346860e+00	1.341099448e+00
1.281853859e+00	1.302982738e+00
1.292360857e+00	1.238167972e+00
1.302867856e+00	1.151074977e+00
1.313374855e+00	1.047005228e+00
1.323881854e+00	9.317821199e-01
1.334388853e+00	8.113807304e-01
1.344895852e+00	6.915706094e-01
1.355402851e+00	5.775933135e-01
1.365909849e+00	4.738932659e-01
1.376416848e+00	3.839163004e-01
1.386923847e+00	3.099852362e-01
1.397430846e+00	2.532564009e-01
1.407937845e+00	2.137555235e-01
1.418444844e+00	1.904862350e-01
1.428951842e+00	1.815998711e-01
1.439458841e+00	1.846116452e-01
1.449965840e+00	1.966457691e-01
1.460472839e+00	2.146908754e-01
1.470979838e+00	2.358471680e-01
1.481486837e+00	2.575480689e-01
1.491993835e+00	2.777415930e-01
1.502500834e+00	2.950200779e-01
1.513007833e+00	3.086909557e-01
1.523514832e+00	3.187856917e-01
1.534021831e+00	3.260085090e-01
1.544528830e+00	3.316307653e-01
1.555035829e+00	3.373405677e-01
1.565542827e+00	3.450601626e-01
1.576049826e+00	3.567456368e-01
1.586556825e+00	3.741844167e-01
1.597063824e+00	3.988058983e-01
1.607570823e+00	4.315193414e-01
1.618077822e+00	4.725910119e-01
1.628584820e+00	5.215696308e-01
1.639091819e+00	5.772657082e-01
1.649598818e+00	6.377865440e-01
1.660105817e+00	7.006248400e-01
1.670612816e+00	7.627952297e-01
1.681119815e+00	8.210098490e-01
1.691626813e+00	8.718815222e-01
1.702133812e+00	9.121413904e-01
1.712640811e+00	9.388569442e-01
1.723147810e+00	9.496364783e-01
1.733654809e+00	9.428069337e-01
1.744161808e+00	9.175538407e-01
1.754668807e+00	8.740144934e-01
1.765175805e+00	8.133184021e-01
1.775682804e+00	7.375722744e-01
1.786189803e+00	6.497900780e-01
1.796696802e+00	5.537719085e-01
1.807203801e+00	4.539382595e-01
1.817710800e+00	3.551286864e-01
1.828217798e+00	2.623756635e-01
1.838724797e+00	1.806655604e-01
1.849231796e+00	1.146990904e-01
1.859738795e+00	6.866330503e-02
1.870245794e+00	4.602629338e-02
1.880752793e+00	4.936427269e-02
1.891259791e+00	8.022884833e-02
1.901766790e+00	1.390600124e-01
1.912273789e+00	2.251480810e-01
1.922780788e+00	3.366453838e-01
1.933287787e+00	4.706262425e-01
1.943794786e+00	6.231917182e-01
1.954301785e+00	7.896138607e-01
1.964808783e+00	9.645128046e-01
1.975315782e+00	1.142059069e+00
1.985822781e+00	1.316192824e+00
1.996329780e+00	1.480851671e+00
2.006836779e+00	1.630198599e+00
2.017343778e+00	1.758842186e+00
2.027850776e+00	1.862041729e+00
2.038357775e+00	1.935890788e+00
2.048864774e+00	1.977473498e+00
2.059371773e+00	1.984988978e+00
2.069878772e+00	1.957840106e+00
2.080385771e+00	1.896683945e+00
2.090892769e+00	1.803442021e+00
2.101399768e+00	1.681269654e+00
2.111906767e+00	1.534484471e+00
2.122413766e+00	1.368455217e+00
2.132920765e+00	1.189452967e+00
2.143427764e+00	1.004467872e+00
2.153934762e+00	8.209956434e-01
2.164441761e+00	6.467990019e-01
2.174948760e+00	4.896504431e-01
2.185455759e+00	3.570636068e-01
2.195962758e+00	2.560214771e-01
2.206469757e+00	1.927103458e-01
2.216976756e+00	1.722689762e-01
2.227483754e+00	1.985625987e-01
2.237990753e+00	2.739912195e-01
2.248497752e+00	3.993411669e-01
2.259004751e+00	5.736878283e-01
2.269511750e+00	7.943561235e-01
2.280018749e+00	1.056943450e+00
2.290525747e+00	1.355407667e+00
2.301032746e+00	1.682220226e+00
2.311539745e+00	2.028581914e+00
2.322046744e+00	2.384695956e+00
2.332553743e+00	2.740090559e+00
2.343060742e+00	3.083980495e+00
2.353567740e+00	3.405655204e+00
2.364074739e+00	3.694879118e+00
2.374581738e+00	3.942288826e+00
2.385088737e+00	4.139771092e+00
2.395595736e+00	4.280805920e+00
2.406102735e+00	4.360759678e+00
2.416609734e+00	4.377114809e+00
2.427116732e+00	4.329624794e+00
2.437623731e+00	4.220385704e+00
2.448130730e+00	4.053818807e+00
2.458637729e+00	3.836562089e+00
2.469144728e+00	3.577272144e+00
2.479651727e+00	3.286341452e+00
2.490158725e+00	2.975539522e+00
2.500665724e+00	2.657589519e+00
2.511172723e+00	2.345694790e+00
2.521679722e+00	2.053031906e+00
2.532186721e+00	1.792228559e+00
2.542693720e+00	1.574845636e+00
2.553200718e+00	1.410883185e+00
2.563707717e+00	1.308329648e+00
2.574214716e+00	1.272772821e+00
2.584721715e+00	1.307089368e+00
2.595228714e+00	1.411227661e+00
2.605735713e+00	1.582096028e+00
2.616242712e+00	1.813565503e+00
2.626749710e+00	2.096592742e+00
2.637256709e+00	2.419465142e+00
2.647763708e+00	2.768166341e+00
2.658270707e+00	3.126856338e+00
2.668777706e+00	3.478456490e+00
2.679284705e+00	3.805325729e+00
2.689791703e+00	4.090010593e+00
2.700298702e+00	4.316048151e+00
2.710805701e+00	4.468797733e+00
2.721312700e+00	4.536274719e+00
2.731819699e+00	4.509957512e+00
2.742326698e+00	4.385537459e+00
2.752833696e+00	4.163580903e+00
2.763340695e+00	3.850072963e+00
2.773847694e+00	3.456814040e+00
2.784354693e+00	3.001642644e+00
2.794861692e+00	2.508461787e+00
2.805368691e+00	2.007051135e+00
2.815875690e+00	1.532653020e+00
2.826382688e+00	1.125327480e+00
2.836889687e+00	8.290792775e-01
2.847396686e+00	6.907683353e-01
2.857903685e+00	7.588238458e-01
2.868410684e+00	1.081791104e+00
2.878917683e+00	1.706748620e+00
2.889424681e+00	2.677640802e+00
2.899931680e+00	4.033578116e+00
2.910438679e+00	5.807161730e+00
2.920945678e+00	8.022892930e+00
2.931452677e+00	1.069572867e+01
2.941959676e+00	1.382984341e+01
2.952466674e+00	1.741765366e+01
2.962973673e+00	2.143915541e+01
2.973480672e+00	2.586161609e+01
2.983987671e+00	3.063965193e+01
2.994494670e+00	3.571570877e+01
3.005001669e+00	4.102095078e+01
3.015508667e+00	4.647654621e+01
3.026015666e+00	5.199532442e+01
3.036522665e+00	5.748376359e+01
3.047029664e+00	6.284425457e+01
3.057536663e+00	6.797757446e+01
3.068043662e+00	7.278549322e+01
3.078550661e+00	7.717342982e+01
3.089057659e+00	8.105306997e+01
3.099564658e+00	8.434485694e+01
3.110071657e+00	8.698026970e+01
3.120578656e+00	8.890380882e+01
3.131085655e+00	9.007461984e+01
3.141592654e+00	9.046769639e+01
