freq(Hz)	1.50e+09	eps_r	4	mu_r	1	sigma	0.00e+00
theta(rad)	RCS(m^2)
0.000000000e+00	2.974340978e+02
1.050699884e-02	2.951401786e+02
2.101399768e-02	2.883464019e+02
3.152099652e-02	2.773119665e+02
4.202799537e-02	2.624533674e+02
5.253499421e-02	2.443222134e+02
6.304199305e-02	2.235762275e+02
7.354899189e-02	2.009453046e+02
8.405599073e-02	1.771947798e+02
9.456298957e-02	1.530881943e+02
1.050699884e-01	1.293518044e+02
1.155769873e-01	1.066428873e+02
1.260839861e-01	8.552356507e+01
1.365909849e-01	6.644142609e+01
1.470979838e-01	4.971771221e+01
1.576049826e-01	3.554329687e+01
1.681119815e-01	2.398214971e+01
1.786189803e-01	1.498150522e+01
1.891259791e-01	8.387560335e+00
1.996329780e-01	3.965242981e+00
2.101399768e-01	1.420436671e+00
2.206469757e-01	4.230175373e-01
2.311539745e-01	6.291543905e-01
2.416609734e-01	1.701522551e+00
2.521679722e-01	3.326364979e+00
2.626749710e-01	5.226670744e+00
2.731819699e-01	7.171100098e+00
2.836889687e-01	8.978636817e+00
2.941959676e-01	1.051926444e+01
3.047029664e-01	1.171122137e+01
3.152099652e-01	1.251557500e+01
3.257169641e-01	1.292895855e+01
3.362239629e-01	1.297533715e+01
3.467309618e-01	1.269761644e+01
3.572379606e-01	1.214979279e+01
3.677449595e-01	1.139018389e+01
3.782519583e-01	1.047609258e+01
3.887589571e-01	9.460064547e+00
3.992659560e-01	8.387720685e+00
4.097729548e-01	7.296992369e+00
4.202799537e-01	6.218474554e+00
4.307869525e-01	5.176543499e+00
4.412939513e-01	4.190864727e+00
4.518009502e-01	3.277939254e+00
4.623079490e-01	2.452394989e+00
4.728149479e-01	1.727815281e+00
4.833219467e-01	1.116996054e+00
4.938289455e-01	6.316244987e-01
5.043359444e-01	2.814644599e-01
5.148429432e-01	7.320698654e-02
5.253499421e-01	9.192151101e-03
5.358569409e-01	8.622672058e-02
5.463639398e-01	2.947112889e-01
5.568709386e-01	6.182530359e-01
5.673779374e-01	1.033881930e+00
5.778849363e-01	1.512916437e+00
5.883919351e-01	2.022448156e+00
5.988989340e-01	2.527341930e+00
6.094059328e-01	2.992586724e+00
6.199129316e-01	3.385789187e+00
6.304199305e-01	3.679580682e+00
6.409269293e-01	3.853711217e+00
6.514339282e-01	3.896629677e+00
6.619409270e-01	3.806395743e+00
6.724479259e-01	3.590830110e+00
6.829549247e-01	3.266879579e+00
6.934619235e-01	2.859245439e+00
7.039689224e-01	2.398390143e+00
7.144759212e-01	1.918092513e+00
7.249829201e-01	1.452760466e+00
7.354899189e-01	1.034729376e+00
7.459969177e-01	6.917723841e-01
7.565039166e-01	4.450268501e-01
7.670109154e-01	3.075014685e-01
7.775179143e-01	2.832752568e-01
7.880249131e-01	3.674380446e-01
7.985319119e-01	5.467579189e-01
8.090389108e-01	8.010001344e-01
8.195459096e-01	1.104769529e+00
8.300529085e-01	1.429708762e+00
8.405599073e-01	1.746860687e+00
8.510669062e-01	2.028996318e+00
8.615739050e-01	2.252720022e+00
8.720809038e-01	2.400189130e+00
8.825879027e-01	2.460323323e+00
8.930949015e-01	2.429425966e+00
9.036019004e-01	2.311190858e+00
9.141088992e-01	2.116118950e+00
9.246158980e-01	1.860416380e+00
9.351228969e-01	1.564483893e+00
9.456298957e-01	1.251135663e+00
9.561368946e-01	9.437009738e-01
9.666438934e-01	6.641645201e-01
9.771508923e-01	4.314908041e-01
9.876578911e-01	2.602567277e-01
9.981648899e-01	1.596863165e-01
1.008671889e+00	1.331454468e-01
1.019178888e+00	1.781156598e-01
1.029685886e+00	2.866278244e-01
1.040192885e+00	4.461015455e-01
1.050699884e+00	6.405073084e-01
1.061206883e+00	8.517473286e-01
1.071713882e+00	1.061139119e+00
1.082220881e+00	1.250883313e+00
1.092727880e+00	1.405403982e+00
1.103234878e+00	1.512464515e+00
1.113741877e+00	1.563983591e+00
1.124248876e+00	1.556501839e+00
1.134755875e+00	1.491278318e+00
1.145262874e+00	1.374024607e+00
1.155769873e+00	1.214311116e+00
1.166276871e+00	1.024703104e+00
1.176783870e+00	8.197015572e-01
1.187290869e+00	6.145754085e-01
1.197797868e+00	4.241760554e-01
1.208304867e+00	2.618228621e-01
1.218811866e+00	1.383397188e-01
1.229318864e+00	6.130873978e-02
1.239825863e+00	3.458903307e-02
