freq(Hz)	3.00e+15	eps_r	1.0	mu_r	1	sigma	0.00e+00
theta(rad)	RCS(m^2)
0.000000000e+00	1.959163852e-21
1.050699884e-02	1.959263514e-21
2.101399768e-02	1.959544811e-21
3.152099652e-02	1.959954663e-21
4.202799537e-02	1.960404585e-21
5.253499421e-02	1.960770680e-21
6.304199305e-02	1.960893686e-21
7.354899189e-02	1.960579128e-21
8.405599073e-02	1.959597649e-21
9.456298957e-02	1.957685591e-21
1.050699884e-01	1.954545937e-21
1.155769873e-01	1.949849715e-21
1.260839861e-01	1.943237982e-21
1.365909849e-01	1.934324530e-21
1.470979838e-01	1.922699429e-21
1.576049826e-01	1.907933566e-21
1.681119815e-01	1.889584301e-21
1.786189803e-01	1.867202363e-21
1.891259791e-01	1.840340120e-21
1.996329780e-01	1.808561282e-21
2.101399768e-01	1.771452119e-21
2.206469757e-01	1.728634196e-21
2.311539745e-01	1.679778595e-21
2.416609734e-01	1.624621506e-21
2.521679722e-01	1.562981036e-21
2.626749710e-01	1.494774936e-21
2.731819699e-01	1.420038904e-21
2.836889687e-01	1.338944974e-21
2.941959676e-01	1.251819408e-21
3.047029664e-01	1.159159381e-21
3.152099652e-01	1.061647630e-21
3.257169641e-01	9.601641462e-22
3.362239629e-01	8.557938722e-22
3.467309618e-01	7.498293312e-22
3.572379606e-01	6.437670506e-22
3.677449595e-01	5.392966797e-22
3.782519583e-01	4.382817576e-22
3.887589571e-01	3.427312300e-22
3.992659560e-01	2.547610226e-22
4.097729548e-01	1.765452822e-22
4.202799537e-01	1.102572820e-22
4.307869525e-01	5.800046897e-23
4.412939513e-01	2.173069430e-23
4.518009502e-01	3.171311284e-24
4.623079490e-01	3.723517116e-24
4.728149479e-01	2.437504020e-23
4.833219467e-01	6.561098797e-23
4.938289455e-01	1.273313296e-22
5.043359444e-01	2.087800386e-22
5.148429432e-01	3.084913022e-22
5.253499421e-01	4.242583539e-22
5.358569409e-01	5.531303393e-22
5.463639398e-01	6.914421208e-22
5.568709386e-01	8.348810255e-22
5.673779374e-01	9.785931935e-22
5.778849363e-01	1.117330407e-21
5.883919351e-01	1.245636077e-21
5.988989340e-01	1.358066491e-21
6.094059328e-01	1.449440639e-21
6.199129316e-01	1.515108949e-21
6.304199305e-01	1.551228460e-21
