freq(Hz)	8.99e+08	eps_r	4	mu_r	1	sigma	0.00e+00
theta(rad)	RCS(m^2)
0.000000000e+00	1.035728756e+02
1.050699884e-02	1.032977291e+02
2.101399768e-02	1.024759195e+02
3.152099652e-02	1.011182706e+02
4.202799537e-02	9.924260095e+01
5.253499421e-02	9.687339813e+01
6.304199305e-02	9.404137298e+01
7.354899189e-02	9.078290375e+01
8.405599073e-02	8.713938292e+01
9.456298957e-02	8.315648114e+01
1.050699884e-01	7.888334450e+01
1.155769873e-01	7.437174258e+01
1.260839861e-01	6.967518557e+01
1.365909849e-01	6.484802908e+01
1.470979838e-01	5.994458512e+01
1.576049826e-01	5.501825708e+01
1.681119815e-01	5.012071578e+01
1.786189803e-01	4.530113187e+01
1.891259791e-01	4.060547860e+01
1.996329780e-01	3.607591667e+01
2.101399768e-01	3.175027064e+01
2.206469757e-01	2.766160439e+01
2.311539745e-01	2.383790009e+01
2.416609734e-01	2.030184328e+01
2.521679722e-01	1.707071374e+01
2.626749710e-01	1.415637993e+01
2.731819699e-01	1.156539227e+01
2.836889687e-01	9.299169033e+00
2.941959676e-01	7.354266395e+00
3.047029664e-01	5.722723298e+00
3.152099652e-01	4.392470314e+00
3.257169641e-01	3.347791047e+00
3.362239629e-01	2.569824045e+00
3.467309618e-01	2.037093024e+00
3.572379606e-01	1.726053279e+00
3.677449595e-01	1.611642506e+00
3.782519583e-01	1.667824879e+00
3.887589571e-01	1.868117996e+00
3.992659560e-01	2.186093348e+00
4.097729548e-01	2.595842052e+00
4.202799537e-01	3.072398856e+00
4.307869525e-01	3.592118737e+00
4.412939513e-01	4.133001769e+00
4.518009502e-01	4.674963272e+00
4.623079490e-01	5.200047631e+00
4.728149479e-01	5.692585407e+00
4.833219467e-01	6.139294591e+00
4.938289455e-01	6.529327944e+00
5.043359444e-01	6.854269349e+00
5.148429432e-01	7.108082958e+00
5.253499421e-01	7.287019624e+00
5.358569409e-01	7.389485690e+00
5.463639398e-01	7.415879601e+00
5.568709386e-01	7.368402106e+00
5.673779374e-01	7.250845911e+00
5.778849363e-01	7.068370660e+00
5.883919351e-01	6.827268979e+00
5.988989340e-01	6.534729050e+00
6.094059328e-01	6.198598845e+00
6.199129316e-01	5.827156715e+00
6.304199305e-01	5.428892500e+00
6.409269293e-01	5.012302779e+00
6.514339282e-01	4.585703293e+00
6.619409270e-01	4.157060926e+00
6.724479259e-01	3.733847062e+00
6.829549247e-01	3.322913475e+00
6.934619235e-01	2.930391401e+00
7.039689224e-01	2.561613839e+00
7.144759212e-01	2.221060695e+00
7.249829201e-01	1.912325924e+00
7.354899189e-01	1.638105472e+00
7.459969177e-01	1.400204506e+00
7.565039166e-01	1.199562202e+00
7.670109154e-01	1.036292177e+00
7.775179143e-01	9.097365324e-01
7.880249131e-01	8.185314476e-01
7.985319119e-01	7.606822140e-01
8.090389108e-01	7.336456672e-01
8.195459096e-01	7.344180181e-01
8.300529085e-01	7.596261802e-01
8.405599073e-01	8.056207936e-01
8.510669062e-01	8.685692634e-01
8.615739050e-01	9.445472478e-01
8.720809038e-01	1.029627154e+00
8.825879027e-01	1.119962312e+00
8.930949015e-01	1.211865615e+00
9.036019004e-01	1.301881521e+00
9.141088992e-01	1.386850408e+00
9.246158980e-01	1.463964406e+00
9.351228969e-01	1.530813911e+00
9.456298957e-01	1.585424117e+00
9.561368946e-01	1.626281052e+00
9.666438934e-01	1.652346702e+00
9.771508923e-01	1.663063033e+00
9.876578911e-01	1.658344847e+00
9.981648899e-01	1.638561658e+00
1.008671889e+00	1.604508965e+00
1.019178888e+00	1.557369551e+00
1.029685886e+00	1.498665685e+00
1.040192885e+00	1.430203336e+00
1.050699884e+00	1.354009769e+00
1.061206883e+00	1.272266108e+00
1.071713882e+00	1.187236638e+00
1.082220881e+00	1.101196798e+00
1.092727880e+00	1.016361916e+00
1.103234878e+00	9.348187895e-01
1.113741877e+00	8.584622033e-01
1.124248876e+00	7.889383995e-01
1.134755875e+00	7.275973520e-01
1.145262874e+00	6.754554691e-01
1.155769873e+00	6.331700470e-01
1.166276871e+00	6.010264353e-01
1.176783870e+00	5.789384567e-01
1.187290869e+00	5.664621682e-01
1.197797868e+00	5.628225714e-01
1.208304867e+00	5.669523930e-01
1.218811866e+00	5.775415856e-01
1.229318864e+00	5.930957599e-01
1.239825863e+00	6.120013777e-01
1.250332862e+00	6.325952189e-01
1.260839861e+00	6.532354168e-01
1.271346860e+00	6.723712294e-01
1.281853859e+00	6.886087084e-01
1.292360857e+00	7.007695292e-01
1.302867856e+00	7.079404716e-01
1.313374855e+00	7.095113727e-01
1.323881854e+00	7.051998100e-01
1.334388853e+00	6.950612969e-01
1.344895852e+00	6.794843603e-01
1.355402851e+00	6.591705063e-01
1.365909849e+00	6.350997323e-01
1.376416848e+00	6.084828828e-01
1.386923847e+00	5.807027549e-01
1.397430846e+00	5.532463922e-01
1.407937845e+00	5.276314551e-01
1.418444844e+00	5.053298823e-01
1.428951842e+00	4.876922589e-01
1.439458841e+00	4.758763534e-01
1.449965840e+00	4.707831885e-01
1.460472839e+00	4.730037499e-01
1.470979838e+00	4.827790413e-01
1.481486837e+00	4.999756544e-01
1.491993835e+00	5.240783796e-01
1.502500834e+00	5.542006484e-01
1.513007833e+00	5.891128082e-01
1.523514832e+00	6.272874221e-01
1.534021831e+00	6.669599866e-01
1.544528830e+00	7.062027166e-01
1.555035829e+00	7.430083884e-01
1.565542827e+00	7.753806898e-01
1.576049826e+00	8.014271361e-01
1.586556825e+00	8.194503841e-01
1.597063824e+00	8.280337372e-01
1.607570823e+00	8.261167861e-01
1.618077822e+00	8.130574648e-01
1.628584820e+00	7.886773242e-01
1.639091819e+00	7.532874948e-01
1.649598818e+00	7.076936255e-01
1.660105817e+00	6.531789844e-01
1.670612816e+00	5.914658797e-01
1.681119815e+00	5.246565352e-01
1.691626813e+00	4.551555119e-01
1.702133812e+00	3.855766444e-01
1.712640811e+00	3.186382287e-01
1.723147810e+00	2.570508088e-01
1.733654809e+00	2.034023379e-01
1.744161808e+00	1.600457099e-01
1.754668807e+00	1.289936572e-01
1.765175805e+00	1.118257779e-01
1.775682804e+00	1.096120092e-01
1.786189803e+00	1.228562103e-01
1.796696802e+00	1.514626839e-01
1.807203801e+00	1.947274951e-01
1.817710800e+00	2.513553700e-01
1.828217798e+00	3.195018310e-01
1.838724797e+00	3.968390976e-01
1.849231796e+00	4.806432064e-01
1.859738795e+00	5.678988275e-01
1.870245794e+00	6.554174276e-01
1.880752793e+00	7.399637914e-01
1.891259791e+00	8.183854930e-01
1.901766790e+00	8.877397328e-01
1.912273789e+00	9.454120283e-01
1.922780788e+00	9.892215778e-01
1.933287787e+00	1.017508679e+00
1.943794786e+00	1.029200370e+00
1.954301785e+00	1.023851406e+00
1.964808783e+00	1.001658817e+00
1.975315782e+00	9.634494219e-01
1.985822781e+00	9.106409394e-01
1.996329780e+00	8.451784961e-01
2.006836779e+00	7.694494425e-01
2.017343778e+00	6.861803676e-01
2.027850776e+00	5.983209875e-01
2.038357775e+00	5.089201642e-01
2.048864774e+00	4.209996322e-01
2.059371773e+00	3.374310849e-01
2.069878772e+00	2.608220698e-01
2.080385771e+00	1.934156919e-01
2.090892769e+00	1.370084379e-01
2.101399768e+00	9.288954787e-02
2.111906767e+00	6.180431882e-02
2.122413766e+00	4.394257534e-02
2.132920765e+00	3.895234252e-02
2.143427764e+00	4.597756561e-02
2.153934762e+00	6.371759443e-02
2.164441761e+00	9.050514542e-02
2.174948760e+00	1.243986175e-01
2.185455759e+00	1.632840104e-01
2.195962758e+00	2.049813060e-01
2.206469757e+00	2.473500399e-01
2.216976756e+00	2.883889213e-01
2.227483754e+00	3.263247404e-01
2.237990753e+00	3.596864209e-01
2.248497752e+00	3.873608874e-01
2.259004751e+00	4.086283946e-01
2.269511750e+00	4.231760482e-01
2.280018749e+00	4.310893788e-01
2.290525747e+00	4.328229649e-01
2.301032746e+00	4.291521662e-01
2.311539745e+00	4.211089804e-01
2.322046744e+00	4.099058252e-01
2.332553743e+00	3.968516307e-01
2.343060742e+00	3.832649773e-01
2.353567740e+00	3.703891205e-01
2.364074739e+00	3.593135875e-01
2.374581738e+00	3.509066408e-01
2.385088737e+00	3.457622806e-01
2.395595736e+00	3.441646532e-01
2.406102735e+00	3.460717712e-01
2.416609734e+00	3.511194035e-01
2.427116732e+00	3.586448898e-01
2.437623731e+00	3.677295565e-01
2.448130730e+00	3.772573956e-01
2.458637729e+00	3.859867830e-01
2.469144728e+00	3.926312905e-01
2.479651727e+00	3.959451366e-01
2.490158725e+00	3.948085415e-01
2.500665724e+00	3.883082252e-01
2.511172723e+00	3.758085079e-01
2.521679722e+00	3.570089368e-01
2.532186721e+00	3.319850410e-01
2.542693720e+00	3.012096824e-01
2.553200718e+00	2.655534683e-01
2.563707717e+00	2.262637860e-01
2.574214716e+00	1.849231379e-01
2.584721715e+00	1.433885579e-01
2.595228714e+00	1.037149010e-01
2.605735713e+00	6.806568326e-02
2.616242712e+00	3.861585077e-02
2.626749710e+00	1.745133877e-02
2.637256709e+00	6.470525551e-03
2.647763708e+00	7.292667459e-03
2.658270707e+00	2.117812594e-02
2.668777706e+00	4.896467389e-02
2.679284705e+00	9.102342166e-02
2.689791703e+00	1.472369675e-01
2.700298702e+00	2.170012990e-01
2.710805701e+00	2.992518026e-01
2.721312700e+00	3.925125333e-01
2.731819699e+00	4.949667211e-01
2.742326698e+00	6.045453934e-01
2.752833696e+00	7.190300371e-01
2.763340695e+00	8.361644556e-01
2.773847694e+00	9.537704308e-01
2.784354693e+00	1.069861511e+00
2.794861692e+00	1.182749235e+00
2.805368691e+00	1.291136346e+00
2.815875690e+00	1.394192106e+00
2.826382688e+00	1.491605545e+00
2.836889687e+00	1.583613506e+00
2.847396686e+00	1.671001465e+00
2.857903685e+00	1.755076358e+00
2.868410684e+00	1.837612001e+00
2.878917683e+00	1.920768939e+00
2.889424681e+00	2.006991856e+00
2.899931680e+00	2.098888757e+00
2.910438679e+00	2.199097083e+00
2.920945678e+00	2.310142629e+00
2.931452677e+00	2.434297582e+00
2.941959676e+00	2.573444173e+00
2.952466674e+00	2.728950304e+00
2.962973673e+00	2.901563086e+00
2.973480672e+00	3.091325566e+00
2.983987671e+00	3.297520932e+00
2.994494670e+00	3.518647401e+00
3.005001669e+00	3.752425643e+00
3.015508667e+00	3.995839237e+00
3.026015666e+00	4.245207201e+00
3.036522665e+00	4.496286234e+00
3.047029664e+00	4.744398987e+00
3.057536663e+00	4.984583527e+00
3.068043662e+00	5.211758172e+00
3.078550661e+00	5.420895159e+00
3.089057659e+00	5.607196172e+00
3.099564658e+00	5.766262601e+00
3.110071657e+00	5.894253575e+00
3.120578656e+00	5.988025276e+00
3.131085655e+00	6.045245774e+00
3.141592654e+00	6.064480638e+00
