freq(Hz)	3.00e+15	eps_r	100000000.0	mu_r	0.0	sigma	0.00e+00
theta(rad)	RCS(m^2)
0.000000000e+00	8.313192495e-13
1.050699884e-02	8.312836181e-13
2.101399768e-02	8.311757649e-13
3.152099652e-02	8.309931414e-13
4.202799537e-02	8.307325496e-13
5.253499421e-02	8.303915594e-13
6.304199305e-02	8.299701920e-13
7.354899189e-02	8.294726080e-13
8.405599073e-02	8.289085083e-13
9.456298957e-02	8.282939721e-13
1.050699884e-01	8.276515054e-13
1.155769873e-01	8.270091610e-13
1.260839861e-01	8.263987160e-13
1.365909849e-01	8.258530239e-13
1.470979838e-01	8.254027977e-13
1.576049826e-01	8.250731922e-13
1.681119815e-01	8.248806227e-13
1.786189803e-01	8.248302725e-13
1.891259791e-01	8.249146892e-13
1.996329780e-01	8.251137560e-13
2.101399768e-01	8.253961627e-13
2.206469757e-01	8.257223049e-13
2.311539745e-01	8.260483457e-13
2.416609734e-01	8.263309978e-13
2.521679722e-01	8.265324593e-13
2.626749710e-01	8.266248821e-13
2.731819699e-01	8.265937737e-13
2.836889687e-01	8.264398426e-13
2.941959676e-01	8.261789757e-13
3.047029664e-01	8.258402696e-13
3.152099652e-01	8.254622984e-13
3.257169641e-01	8.250880471e-13
3.362239629e-01	8.247591497e-13
3.467309618e-01	8.245102017e-13
3.572379606e-01	8.243639410e-13
3.677449595e-01	8.243280154e-13
3.782519583e-01	8.243938521e-13
3.887589571e-01	8.245378681e-13
3.992659560e-01	8.247249183e-13
4.097729548e-01	8.249135357e-13
4.202799537e-01	8.250622253e-13
4.307869525e-01	8.251358691e-13
4.412939513e-01	8.251112456e-13
4.518009502e-01	8.249807563e-13
4.623079490e-01	8.247537056e-13
4.728149479e-01	8.244548460e-13
4.833219467e-01	8.241203431e-13
4.938289455e-01	8.237917513e-13
5.043359444e-01	8.235089565e-13
5.148429432e-01	8.233032594e-13
5.253499421e-01	8.231918058e-13
5.358569409e-01	8.231743857e-13
5.463639398e-01	8.232332551e-13
5.568709386e-01	8.233361207e-13
5.673779374e-01	8.234418630e-13
5.778849363e-01	8.235080515e-13
5.883919351e-01	8.234989261e-13
5.988989340e-01	8.233923667e-13
6.094059328e-01	8.231844871e-13
6.199129316e-01	8.228908721e-13
6.304199305e-01	8.225440726e-13
6.409269293e-01	8.221876805e-13
6.514339282e-01	8.218679932e-13
6.619409270e-01	8.216248144e-13
6.724479259e-01	8.214831921e-13
6.829549247e-01	8.214478120e-13
6.934619235e-01	8.215013183e-13
7.039689224e-01	8.216071040e-13
7.144759212e-01	8.217162151e-13
7.249829201e-01	8.217771384e-13
7.354899189e-01	8.217465591e-13
7.459969177e-01	8.215988562e-13
7.565039166e-01	8.213322409e-13
7.670109154e-01	8.209700370e-13
7.775179143e-01	8.205565697e-13
7.880249131e-01	8.201482735e-13
7.985319119e-01	8.198017233e-13
8.090389108e-01	8.195610812e-13
8.195459096e-01	8.194477368e-13
8.300529085e-01	8.194545968e-13
8.405599073e-01	8.195465781e-13
8.510669062e-01	8.196675342e-13
8.615739050e-01	8.197523775e-13
8.720809038e-01	8.197418700e-13
8.825879027e-01	8.195967736e-13
8.930949015e-01	8.193079853e-13
9.036019004e-01	8.189000201e-13
9.141088992e-01	8.184266257e-13
9.246158980e-01	8.179591270e-13
9.351228969e-01	8.175699046e-13
9.456298957e-01	8.173147548e-13
9.561368946e-01	8.172184055e-13
9.666438934e-01	8.172669599e-13
9.771508923e-01	8.174095664e-13
9.876578911e-01	8.175694503e-13
9.981648899e-01	8.176620825e-13
1.008671889e+00	8.176163010e-13
1.019178888e+00	8.173931565e-13
1.029685886e+00	8.169974902e-13
1.040192885e+00	8.164787975e-13
1.050699884e+00	8.159204929e-13
1.061206883e+00	8.154196813e-13
