freq(Hz)	2.50e+08	eps_r	4	mu_r	1	sigma	0.00e+00
theta(rad)	RCS(m^2)
0.000000000e+00	2.229350241e+01
1.050699884e-02	2.228561071e+01
2.101399768e-02	2.226195227e+01
3.152099652e-02	2.222257709e+01
4.202799537e-02	2.216756827e+01
5.253499421e-02	2.209704186e+01
6.304199305e-02	2.201114642e+01
7.354899189e-02	2.191006258e+01
8.405599073e-02	2.179400254e+01
9.456298957e-02	2.166320936e+01
1.050699884e-01	2.151795627e+01
1.155769873e-01	2.135854578e+01
1.260839861e-01	2.118530885e+01
1.365909849e-01	2.099860377e+01
1.470979838e-01	2.079881519e+01
1.576049826e-01	2.058635290e+01
1.681119815e-01	2.036165057e+01
1.786189803e-01	2.012516454e+01
1.891259791e-01	1.987737236e+01
1.996329780e-01	1.961877143e+01
2.101399768e-01	1.934987747e+01
2.206469757e-01	1.907122305e+01
2.311539745e-01	1.878335598e+01
2.416609734e-01	1.848683772e+01
2.521679722e-01	1.818224174e+01
2.626749710e-01	1.787015184e+01
2.731819699e-01	1.755116051e+01
2.836889687e-01	1.722586716e+01
2.941959676e-01	1.689487648e+01
3.047029664e-01	1.655879667e+01
3.152099652e-01	1.621823781e+01
3.257169641e-01	1.587381005e+01
3.362239629e-01	1.552612205e+01
3.467309618e-01	1.517577923e+01
3.572379606e-01	1.482338215e+01
3.677449595e-01	1.446952492e+01
3.782519583e-01	1.411479365e+01
3.887589571e-01	1.375976487e+01
3.992659560e-01	1.340500409e+01
4.097729548e-01	1.305106437e+01
4.202799537e-01	1.269848493e+01
4.307869525e-01	1.234778986e+01
4.412939513e-01	1.199948686e+01
4.518009502e-01	1.165406606e+01
4.623079490e-01	1.131199894e+01
4.728149479e-01	1.097373726e+01
4.833219467e-01	1.063971217e+01
4.938289455e-01	1.031033325e+01
5.043359444e-01	9.985987819e+00
5.148429432e-01	9.667040150e+00
5.253499421e-01	9.353830910e+00
5.358569409e-01	9.046676606e+00
5.463639398e-01	8.745869154e+00
5.568709386e-01	8.451675528e+00
5.673779374e-01	8.164337498e+00
5.778849363e-01	7.884071466e+00
5.883919351e-01	7.611068382e+00
5.988989340e-01	7.345493751e+00
6.094059328e-01	7.087487735e+00
6.199129316e-01	6.837165329e+00
6.304199305e-01	6.594616632e+00
6.409269293e-01	6.359907194e+00
6.514339282e-01	6.133078449e+00
6.619409270e-01	5.914148217e+00
6.724479259e-01	5.703111291e+00
6.829549247e-01	5.499940090e+00
6.934619235e-01	5.304585378e+00
7.039689224e-01	5.116977055e+00
7.144759212e-01	4.937025001e+00
7.249829201e-01	4.764619983e+00
7.354899189e-01	4.599634615e+00
7.459969177e-01	4.441924356e+00
7.565039166e-01	4.291328567e+00
7.670109154e-01	4.147671600e+00
7.775179143e-01	4.010763916e+00
7.880249131e-01	3.880403242e+00
7.985319119e-01	3.756375752e+00
8.090389108e-01	3.638457260e+00
8.195459096e-01	3.526414436e+00
8.300529085e-01	3.420006029e+00
8.405599073e-01	3.318984098e+00
8.510669062e-01	3.223095235e+00
8.615739050e-01	3.132081795e+00
8.720809038e-01	3.045683108e+00
8.825879027e-01	2.963636678e+00
8.930949015e-01	2.885679368e+00
9.036019004e-01	2.811548558e+00
9.141088992e-01	2.740983276e+00
9.246158980e-01	2.673725293e+00
9.351228969e-01	2.609520196e+00
9.456298957e-01	2.548118404e+00
9.561368946e-01	2.489276152e+00
9.666438934e-01	2.432756428e+00
9.771508923e-01	2.378329854e+00
9.876578911e-01	2.325775522e+00
9.981648899e-01	2.274881769e+00
1.008671889e+00	2.225446897e+00
1.019178888e+00	2.177279831e+00
1.029685886e+00	2.130200720e+00
1.040192885e+00	2.084041469e+00
1.050699884e+00	2.038646209e+00
1.061206883e+00	1.993871700e+00
1.071713882e+00	1.949587668e+00
1.082220881e+00	1.905677078e+00
1.092727880e+00	1.862036330e+00
1.103234878e+00	1.818575402e+00
1.113741877e+00	1.775217911e+00
1.124248876e+00	1.731901120e+00
1.134755875e+00	1.688575874e+00
1.145262874e+00	1.645206470e+00
1.155769873e+00	1.601770465e+00
1.166276871e+00	1.558258431e+00
1.176783870e+00	1.514673637e+00
1.187290869e+00	1.471031682e+00
1.197797868e+00	1.427360077e+00
1.208304867e+00	1.383697762e+00
1.218811866e+00	1.340094586e+00
1.229318864e+00	1.296610735e+00
1.239825863e+00	1.253316117e+00
1.250332862e+00	1.210289705e+00
1.260839861e+00	1.167618849e+00
1.271346860e+00	1.125398549e+00
1.281853859e+00	1.083730700e+00
1.292360857e+00	1.042723311e+00
1.302867856e+00	1.002489706e+00
1.313374855e+00	9.631477005e-01
1.323881854e+00	9.248187691e-01
1.334388853e+00	8.876271981e-01
1.344895852e+00	8.516992357e-01
1.355402851e+00	8.171622386e-01
1.365909849e+00	7.841438192e-01
1.376416848e+00	7.527709999e-01
1.386923847e+00	7.231693755e-01
1.397430846e+00	6.954622889e-01
1.407937845e+00	6.697700246e-01
1.418444844e+00	6.462090210e-01
1.428951842e+00	6.248911077e-01
1.439458841e+00	6.059227700e-01
1.449965840e+00	5.894044427e-01
1.460472839e+00	5.754298387e-01
1.470979838e+00	5.640853133e-01
1.481486837e+00	5.554492674e-01
1.491993835e+00	5.495915927e-01
1.502500834e+00	5.465731606e-01
1.513007833e+00	5.464453569e-01
1.523514832e+00	5.492496653e-01
1.534021831e+00	5.550172991e-01
1.544528830e+00	5.637688857e-01
1.555035829e+00	5.755142021e-01
1.565542827e+00	5.902519643e-01
1.576049826e+00	6.079696709e-01
1.586556825e+00	6.286435014e-01
1.597063824e+00	6.522382689e-01
1.607570823e+00	6.787074288e-01
1.618077822e+00	7.079931411e-01
1.628584820e+00	7.400263883e-01
1.639091819e+00	7.747271462e-01
1.649598818e+00	8.120046080e-01
1.660105817e+00	8.517574597e-01
1.670612816e+00	8.938742070e-01
1.681119815e+00	9.382335494e-01
1.691626813e+00	9.847048032e-01
1.702133812e+00	1.033148368e+00
1.712640811e+00	1.083416240e+00
1.723147810e+00	1.135352557e+00
1.733654809e+00	1.188794196e+00
1.744161808e+00	1.243571391e+00
1.754668807e+00	1.299508398e+00
1.765175805e+00	1.356424177e+00
1.775682804e+00	1.414133110e+00
1.786189803e+00	1.472445739e+00
1.796696802e+00	1.531169528e+00
1.807203801e+00	1.590109634e+00
1.817710800e+00	1.649069704e+00
1.828217798e+00	1.707852669e+00
1.838724797e+00	1.766261558e+00
1.849231796e+00	1.824100306e+00
1.859738795e+00	1.881174565e+00
1.870245794e+00	1.937292515e+00
1.880752793e+00	1.992265659e+00
1.891259791e+00	2.045909617e+00
1.901766790e+00	2.098044904e+00
1.912273789e+00	2.148497682e+00
1.922780788e+00	2.197100507e+00
1.933287787e+00	2.243693037e+00
1.943794786e+00	2.288122724e+00
1.954301785e+00	2.330245470e+00
1.964808783e+00	2.369926255e+00
