frequency = 599584917.1618936 Hz; phi = 1.5707963267948966 rad
theta(rad) Re(E_r) Im(E_r) Re(E_theta) Im(E_theta) Re(E_phi) Im(E_phi)
4.097729548160600e-01 1.015596675309824e-20 -8.359213639470889e-22 -4.917798524934260e-19 -4.163867203833593e-19 2.377108215715977e-03 2.687027605673330e-03
4.202799536574974e-01 9.949491465893127e-21 -9.474752260937093e-22 -4.780332051889505e-19 -3.442469901473870e-19 2.268178382785236e-03 1.457393477986405e-03
4.307869524989348e-01 9.721474596417997e-21 -1.061569569389062e-21 -4.639439035722346e-19 -2.734826048512915e-19 2.176977652576974e-03 2.602882587992505e-04
4.412939513403723e-01 9.472790177272445e-21 -1.177836249782787e-21 -4.495096776055584e-19 -2.042392047659920e-19 2.102683747776459e-03 -9.016931715057376e-04
4.518009501818097e-01 9.204367064906776e-21 -1.295891191048440e-21 -4.347284662746863e-19 -1.366566061441011e-19 2.044327118595884e-03 -2.026097026807313e-03
4.623079490232472e-01 8.917185548177567e-21 -1.415335526763923e-21 -4.195985083854588e-19 -7.086844735349679e-20 2.000801318692377e-03 -3.110616558529924e-03
4.728149478646846e-01 8.612273809466018e-21 -1.535756799794894e-21 -4.041184384165895e-19 -7.001857517941014e-21 1.970874529330529e-03 -4.153097394138492e-03
4.833219467061221e-01 8.290704252014390e-21 -1.656730217155400e-21 -3.882873868823746e-19 5.482285144012947e-20 1.953202128978601e-03 -5.151542262083047e-03
4.938289455475595e-01 7.953589706953520e-21 -1.777819958038594e-21 -3.721050845996693e-19 1.144924685515812e-19 1.946340196697303e-03 -6.104115097249059e-03
5.043359443889969e-01 7.602079534584832e-21 -1.898580532819601e-21 -3.555719701946882e-19 1.719011426360889e-19 1.948759829814010e-03 -7.009144523726204e-03
5.148429432304343e-01 7.237355633905576e-21 -2.018558190749500e-21 -3.386893001306016e-19 2.269506156015101e-19 1.958862149593132e-03 -7.865126714388354e-03
5.253499420718718e-01 6.860628375168499e-21 -2.137292374011438e-21 -3.214592604853582e-19 2.795504296841597e-19 1.974993862879139e-03 -8.670727629396276e-03
5.358569409133092e-01 6.473132470112768e-21 -2.254317215722798e-21 -3.038850796616882e-19 3.296181082011646e-19 1.995463243140960e-03 -9.424784638245797e-03
5.463639397547466e-01 6.076122794667756e-21 -2.369163079370043e-21 -2.859711411682835e-19 3.770793094821063e-19 2.018556390967743e-03 -1.012630753239720e-02
5.568709385961841e-01 5.670870178948942e-21 -2.481358137043715e-21 -2.677230955731734e-19 4.218679537428112e-19 2.042553631905540e-03 -1.077447893781854e-02
5.673779374376215e-01 5.258657179334008e-21 -2.590429983700666e-21 -2.491479706976832e-19 4.639263227595653e-19 2.065745908593131e-03 -1.136865413894965e-02
5.778849362790589e-01 4.840773847346286e-21 -2.695907284522930e-21 -2.302542790930501e-19 5.032051322963920e-19 2.086451024471596e-03 -1.190836032763215e-02
5.883919351204964e-01 4.418513509880718e-21 -2.797321452244469e-21 -2.110521218201884e-19 5.396635773323442e-19 2.103029597855847e-03 -1.239329529245999e-02
5.988989339619338e-01 3.993168575214745e-21 -2.894208351135817e-21 -1.915532875410442e-19 5.732693502268005e-19 2.113900587957497e-03 -1.282332556575358e-02
6.094059328033713e-01 3.566026378956099e-21 -2.986110024055492e-21 -1.717713459217893e-19 6.039986320522423e-19 2.117556258366978e-03 -1.319848404697820e-02
6.199129316448087e-01 3.138365083707116e-21 -3.072576438841714e-21 -1.517217343476231e-19 6.318360574123612e-19 2.112576448593770e-03 -1.351896712288697e-02
6.304199304862461e-01 2.711449646193771e-21 -3.153167249819543e-21 -1.314218369605677e-19 6.567746531484043e-19 2.097642030565124e-03 -1.378513130596050e-02
6.409269293276836e-01 2.286527864792972e-21 -3.227453570225152e-21 -1.108910550410835e-19 6.788157514220925e-19 2.071547434123455e-03 -1.399748941388789e-02
6.514339281691210e-01 1.864826520407009e-21 -3.295019750727222e-21 -9.015086778373468e-20 6.979688777422952e-19 2.033212133960766e-03 -1.415670631381015e-02
6.619409270105584e-01 1.447547622890562e-21 -3.355465159118303e-21 -6.922488254401072e-20 7.142516145815101e-19 1.981690999514938e-03 -1.426359425590804e-02
6.724479258519959e-01 1.035864774872520e-21 -3.408405955814940e-21 -4.813887367452159e-20 7.276894413019153e-19 1.916183419414619e-03 -1.431910782160761e-02
6.829549246934333e-01 6.309196642523569e-22 -3.453476859510087e-21 -2.692080911453398e-20 7.383155511816852e-19 1.836041122799142e-03 -1.432433851223234e-02
6.934619235348707e-01 2.338186960918425e-22 -3.490332896903595e-21 -5.600863954004527e-21 7.461706463991313e-19 1.740774631307273e-03 -1.428050900433784e-02
7.039689223763081e-01 -1.543702259569659e-22 -3.518651130239779e-21 1.578857974957375e-20 7.513027118956169e-19 1.630058287397936e-03 -1.418896709825629e-02
7.144759212177456e-01 -5.326207591909762e-22 -3.538132355830001e-21 3.721294754595579e-20 7.537667690968634e-19 1.503733817233245e-03 -1.405117938650940e-02
7.249829200591831e-01 -8.999510134905319e-22 -3.548502766601248e-21 5.863550213294714e-20 7.536246105274999e-19 1.361812398980004e-03 -1.386872466879581e-02
7.354899189006204e-01 -1.255426266798944e-21 -3.549515571303110e-21 8.001738835112743e-20 7.509445164038954e-19 1.204475220431838e-03 -1.364328714016691e-02
7.459969177420579e-01 -1.598161497048235e-21 -3.540952562661025e-21 1.013176940272992e-19 7.458009543368480e-19 1.032072523013150e-03 -1.337664937881211e-02
7.565039165834954e-01 -1.927323723568778e-21 -3.522625626629401e-21 1.224935269724412e-19 7.382742633168295e-19 8.451211422036929e-04 -1.307068515960319e-02
7.670109154249328e-01 -2.242134151987278e-21 -3.494378184510692e-21 1.435001083314678e-19 7.284503231919949e-19 6.443005675488345e-04 -1.272735211916112e-02
7.775179142663702e-01 -2.541870117286366e-21 -3.456086559568573e-21 1.642908823788188e-19 7.164202108816084e-19 4.304475581340283e-04 -1.234868429776619e-02
7.880249131078076e-01 -2.825866820249055e-21 -3.407661259616688e-21 1.848176427455590e-19 7.022798445948445e-19 2.045493618020890e-04 -1.193678458291386e-02
7.985319119492451e-01 -3.093518853545220e-21 -3.349048166873364e-21 2.050306749451033e-19 6.861296173488366e-19 -3.226440153371108e-05 -1.149381707873433e-02
8.090389107906826e-01 -3.344281514368292e-21 -3.280229626344130e-21 2.248789149502562e-19 6.680740210982597e-19 -2.787311207231910e-04 -1.102199942486951e-02
8.195459096321199e-01 -3.577671901053907e-21 -3.201225423991789e-21 2.443101234574803e-19 6.482212628018916e-19 -5.334657558308829e-04 -1.052359508772822e-02
8.300529084735574e-01 -3.793269792246327e-21 -3.112093645946629e-21 2.632710753498780e-19 6.266828737621664e-19 -7.949724895352112e-04 -1.000090564633624e-02
8.405599073149949e-01 -3.990718307717533e-21 -3.012931410152196e-21 2.817077637527882e-19 6.035733135779658e-19 -1.061657365609016e-03 -9.456263094271063e-03
8.510669061564322e-01 -4.169724350588761e-21 -2.903875462012552e-21 2.995656179564297e-19 5.790095700509020e-19 -1.331841804277587e-03 -8.892022178424408e-03
8.615739049978697e-01 -4.330058831728809e-21 -2.785102625832611e-21 3.167897343590283e-19 5.531107563823421e-19 -1.603776876839881e-03 -8.310552794583882e-03
8.720809038393071e-01 -4.471556677486607e-21 -2.656830104180034e-21 3.333251194704412e-19 5.259977069889529e-19 -1.875658215646635e-03 -7.714232459065108e-03
8.825879026807446e-01 -4.594116622925061e-21 -2.519315617672564e-21 3.491169439008184e-19 4.977925732530841e-19 -2.145641430240996e-03 -7.105438874875978e-03
8.930949015221820e-01 -4.697700793370224e-21 -2.372857378172034e-21 3.641108061505872e-19 4.686184205076700e-19 -2.411857896360598e-03 -6.486542610152563e-03
9.036019003636194e-01 -4.782334077425820e-21 -2.217793888911567e-21 3.782530049159204e-19 4.385988275334021e-19 -2.672430781570027e-03 -5.859899905867331e-03
9.141088992050569e-01 -4.848103295806369e-21 -2.054503565696063e-21 3.914908185223826e-19 4.078574898237312e-19 -2.925491169474308e-03 -5.227845629110779e-03
9.246158980464944e-01 -4.895156170736582e-21 -1.883404174024148e-21 4.037727900099494e-19 3.765178278443202e-19 -3.169194143923631e-03 -4.592686387552864e-03
9.351228968879317e-01 -4.923700100996728e-21 -1.704952077744730e-21 4.150490163098074e-19 3.447026014808193e-19 -3.401734695262712e-03 -3.956693820014410e-03
9.456298957293692e-01 -4.934000748850240e-21 -1.519641295710860e-21 4.252714398752134e-19 3.125335318362227e-19 -3.621363312467327e-03 -3.322098077452386e-03
9.561368945708066e-01 -4.926380445391824e-21 -1.328002363812073e-21 4.343941410639829e-19 2.801309314999819e-19 -3.826401128033218e-03 -2.691081508042622e-03
9.666438934122441e-01 -4.901216421115857e-21 -1.130601000733934e-21 4.423736295144799e-19 2.476133443685019e-19 -4.015254486633688e-03 -2.065772559440815e-03
9.771508922536815e-01 -4.858938869601620e-21 -9.280365768512783e-22 4.491691327088406e-19 2.150971960553206e-19 -4.186428813788777e-03 -1.448239910761280e-03
9.876578910951189e-01 -4.800028852345684e-21 -7.209403867530443e-22 4.547428798838204e-19 1.826964558810495e-19 -4.338541667117272e-03 -8.404868462610394e-04
9.981648899365564e-01 -4.725016053163505e-21 -5.099737270369432e-22 4.590603794263145e-19 1.505223113835989e-19 -4.470334860048789e-03 -2.444458821950173e-04
1.008671888777994e+00 -4.634476391290087e-21 -2.958257822156870e-22 4.620906878786594e-19 1.186828562391300e-19 -4.580685556110299e-03 3.380263421775406e-04
1.019178887619431e+00 -4.529029502499669e-21 -7.921132279466931e-23 4.638066686806745e-19 8.728279242960455e-20 -4.668616241009867e-03 9.051538989462180e-04
1.029685886460869e+00 -4.409336098000366e-21 1.391317791615285e-22 4.641852387891589e-19 5.642314743768439e-20 -4.733303489618642e-03 1.455246121239020e-03
1.040192885302306e+00 -4.276095211178583e-21 3.584452103829016e-22 4.632076013425019e-19 2.620100719245274e-20 -4.774085455522350e-03 1.986701858687651e-03
1.050699884143744e+00 -4.130041342561679e-21 5.779530447962068e-22 4.608594625780453e-19 -3.290734569265886e-21 -4.790468021978935e-03 2.498013429564892e-03
1.061206882985181e+00 -3.971941513621147e-21 7.968647307921892e-22 4.571312312628577e-19 -3.196360992177400e-20 -4.782129564777349e-03 2.987770260955188e-03
1.071713881826618e+00 -3.802592240313157e-21 1.014378226989120e-21 4.520181989646835e-19 -5.973379280464720e-20 -4.748924289557374e-03 3.454662208765359e-03
1.082220880668056e+00 -3.622816437239520e-21 1.229683274677054e-21 4.455206995685115e-19 -8.652229703418883e-20 -4.690884118462192e-03 3.897482549910072e-03
1.092727879509493e+00 -3.433460263873256e-21 1.441964794159184e-21 4.376442465360152e-19 -1.122551558495021e-19 -4.608219113559722e-03 4.315130639421823e-03
1.103234878350931e+00 -3.235389923878884e-21 1.650406390768278e-21 4.283996465082561e-19 -1.368635826423844e-19 -4.501316437001089e-03 4.706614225840639e-03
1.113741877192368e+00 -3.029488429055046e-21 1.854193955363555e-21 4.178030879678013e-19 -1.602841125779322e-19 -4.370737860466422e-03 5.071051418719307e-03
1.124248876033806e+00 -2.816652339250048e-21 2.052519342959310e-21 4.058762038027428e-19 -1.824587248797700e-19 -4.217215848818645e-03 5.407672302688924e-03
1.134755874875243e+00 -2.597788489660177e-21 2.244584112148397e-21 3.926461067522384e-19 -2.033349456170461e-19 -4.041648255020766e-03 5.715820193136305e-03
1.145262873716681e+00 -2.373810716873981e-21 2.429603307052706e-21 3.781453968600441e-19 -2.228659308942961e-19 -3.845091675134968e-03 5.994952529202664e-03
1.155769872558118e+00 -2.145636594949524e-21 2.606809262694289e-21 3.624121402183628e-19 -2.410105304087764e-19 -3.628753523517696e-03 6.244641400515475e-03
1.166276871399555e+00 -1.914184192698336e-21 2.775455413941420e-21 3.454898184482244e-19 -2.577333314028030e-19 -3.393982899055694e-03 6.464573704816606e-03
1.176783870240993e+00 -1.680368863200573e-21 2.934820087552025e-21 3.274272485336420e-19 -2.730046831008380e-19 -3.142260323361426e-03 6.654550934452511e-03
1.187290869082430e+00 -1.445100076390118e-21 3.084210256321305e-21 3.082784728038102e-19 -2.868007017823882e-19 -2.875186441176182e-03 6.814488590548977e-03
1.197797867923868e+00 -1.209278305328291e-21 3.222965233944538e-21 2.881026190395954e-19 -2.991032567020403e-19 -2.594469781735847e-03 6.944415224604645e-03
1.208304866765305e+00 -9.737919765281461e-22 3.350460288963402e-21 2.669637308665471e-19 -3.098999371267474e-19 -2.301913687472416e-03 7.044471108203013e-03
1.218811865606743e+00 -7.395144944069347e-22 3.466110155975975e-21 2.449305687842800e-19 -3.191840008187909e-19 -1.999402523062457e-03 7.114906532572136e-03
1.229318864448180e+00 -5.073013496156594e-22 3.569372422405654e-21 2.220763823728852e-19 -3.269543043477386e-19 -1.688887283502532e-03 7.156079740788553e-03
1.239825863289617e+00 -2.779873206497779e-22 3.659750769180131e-21 1.984786544054707e-19 -3.332152156703048e-19 -1.372370724445657e-03 7.168454496564084e-03
1.250332862131055e+00 -5.238377775115077e-23 3.736798044030045e-21 1.742188177853220e-19 -3.379765094686487e-19 -1.051892141542839e-03 7.152597294727912e-03
1.260839860972492e+00 1.687239022788838e-22 3.800119146578861e-21 1.493819464106444e-19 -3.412532457890743e-19 -7.295119278702921e-04 7.109174219751638e-03
1.271346859813930e+00 3.845788022158016e-22 3.849373704945597e-21 1.240564212538504e-19 -3.430656325702537e-19 -4.072960397954598e-04 7.038947459927524e-03
1.281853858655367e+00 5.944548037886982e-22 3.884278524400529e-21 9.833357311659323e-20 -3.434388726977606e-19 -8.730050166530852e-05 6.942771486129785e-03
1.292360857496805e+00 7.976587930753869e-22 3.904609789477895e-21 7.230730369316919e-20 -3.424029962645959e-19 2.284439213295902e-04 6.821588905422274e-03
1.302867856338242e+00 9.935327252637420e-22 3.910205001990720e-21 4.607368673752281e-20 -3.399926787588327e-19 5.379467549420993e-04 6.676426001144161e-03
1.313374855179679e+00 1.181455542596378e-21 3.900964638606618e-21 1.973055128130464e-20 -3.362470459386559e-19 8.392724284437946e-04 6.508387972490105e-03
1.323881854021117e+00 1.360844939913832e-21 3.876853512947885e-21 -6.622951005733779e-21 -3.312094661908368e-19 1.130554348467215e-03 6.318653887993272e-03
1.334388852862554e+00 1.531158972771802e-21 3.837901828640294e-21 -3.288679209028221e-20 -3.249273312021112e-19 1.410008319983194e-03 6.108471368714695e-03
1.344895851703992e+00 1.691897503700203e-21 3.784205911311077e-21 -5.896052514293553e-20 -3.174518258033478e-19 1.675945206638469e-03 5.879151018327923e-03
1.355402850545429e+00 1.842603482775431e-21 3.715928609228101e-21 -8.474375095068475e-20 -3.088376878738927e-19 1.926782729949629e-03 5.632060618656115e-03
1.365909849386867e+00 1.982864059293199e-21 3.633299354068939e-21 -1.101365906350467e-19 -2.991429592179635e-19 2.161056314965455e-03 5.368619110558240e-03
1.376416848228304e+00 2.112311521954520e-21 3.536613875199860e-21 -1.350401620600887e-19 -2.884287283463600e-19 2.377428898894349e-03 5.090290381362004e-03
1.386923847069741e+00 2.230624065617644e-21 3.426233562819045e-21 -1.593570572541291e-19 -2.767588661150642e-19 2.574699628764112e-03 4.798576881293240e-03
1.397430845911179e+00 2.337526383248426e-21 3.302584477368691e-21 -1.829918181252250e-19 -2.641997551872491e-19 2.751811384354970e-03 4.495013092540662e-03
1.407937844752616e+00 2.432790082554715e-21 3.166156004709848e-21 -2.058514077227708e-19 -2.508200142976442e-19 2.907857073304716e-03 4.181158875724273e-03
1.418444843594054e+00 2.516233926967268e-21 3.017499158733700e-21 -2.278456742900626e-19 -2.366902183056933e-19 3.042084656399386e-03 3.858592719556251e-03
1.428951842435491e+00 2.587723901953925e-21 2.857224535232159e-21 -2.488878053583718e-19 -2.218826150309198e-19 3.153900872404656e-03 3.528904920455149e-03
1.439458841276929e+00 2.647173107580745e-21 2.685999923046293e-21 -2.688947691615312e-19 -2.064708398647656e-19 3.242873643421553e-03 3.193690719698094e-03
1.449965840118366e+00 2.694541479385347e-21 2.504547580752384e-21 -2.877877406932762e-19 -1.905296291524523e-19 3.308733153421510e-03 2.854543426435242e-03
1.460472838959804e+00 2.729835339984242e-21 2.313641189272345e-21 -3.054925097915767e-19 -1.741345333342634e-19 3.351371604296149e-03 2.513047555503596e-03
1.470979837801241e+00 2.753106784519744e-21 2.114102492959782e-21 -3.219398687141140e-19 -1.573616308279627e-19 3.370841665329711e-03 2.170772009455554e-03
1.481486836642678e+00 2.764452903683322e-21 1.906797643905673e-21 -3.370659767665046e-19 -1.402872436224434e-19 3.367353643361294e-03 1.829263334549795e-03
1.491993835484116e+00 2.764014848534604e-21 1.692633266065412e-21 -3.508126996577440e-19 -1.229876555406132e-19 3.341271411926271e-03 1.490039080668151e-03
1.502500834325553e+00 2.751976742002677e-21 1.472552257995751e-21 -3.631279213888580e-19 -1.055388341102547e-19 3.293107148308297e-03 1.154581295139563e-03
1.513007833166991e+00 2.728564442512477e-21 1.247529354761318e-21 -3.739658266256438e-19 -8.801615696298422e-20 3.223514937535086e-03 8.243301803536478e-04
1.523514832008428e+00 2.694044165434094e-21 1.018566471333181e-21 -3.832871516674089e-19 -7.049414365719441e-20 3.133283311875163e-03 5.006779447565723e-04
1.534021830849866e+00 2.648720969122420e-21 7.866878514465286e-22 -3.910594022973728e-19 -5.304619379765859e-20 3.023326803224734e-03 1.849628764011261e-04
1.544528829691303e+00 2.592937111982456e-21 5.529350475914392e-22 -3.972570369889012e-19 -3.574433228992908e-20 2.894676593866960e-03 -1.215363324397762e-04
1.555035828532740e+00 2.527070288360098e-21 3.183617588916238e-22 -4.018616141388655e-19 -1.865896254395324e-20 2.748470358325052e-03 -4.176059818037059e-04
1.565542827374178e+00 2.451531750544226e-21 8.402855510318744e-23 -4.048619022102102e-19 -1.858628399809918e-21 2.585941395409692e-03 -7.021024549356148e-04
1.576049826215615e+00 2.366764325308214e-21 -1.490024840977665e-22 -4.062539518832244e-19 1.459021448288126e-20 2.408407154978558e-03 -9.739569778516455e-04
1.586556825057053e+00 2.273240333388620e-21 -3.796731844549993e-22 -4.060411295415800e-19 3.062341707146276e-20 2.217257268367994e-03 -1.232180023175903e-03
1.597063823898490e+00 2.171459420628767e-21 -6.069347163263391e-22 -4.042341116514522e-19 4.617934458330665e-20 2.013941194870769e-03 -1.475865335303466e-03
1.607570822739928e+00 2.061946309862290e-21 -8.297530264523574e-22 -4.008508398291072e-19 6.119907266894818e-20 1.799955599001414e-03 -1.704193555545574e-03
1.618077821581365e+00 1.945248482909328e-21 -1.047114230707793e-21 -3.959164366327260e-19 7.562657158353680e-20 1.576831574595219e-03 -1.916435427667255e-03
1.628584820422802e+00 1.821933802248707e-21 -1.258029936136319e-21 -3.894630823562595e-19 8.940887782172418e-20 1.346121832019754e-03 -2.111954566127555e-03
1.639091819264240e+00 1.692588081851624e-21 -1.461542460690522e-21 -3.815298533446717e-19 1.024962527411219e-19 1.109387963932433e-03 -2.290209771370880e-03
1.649598818105677e+00 1.557812617206526e-21 -1.656729919382334e-21 -3.721625225906100e-19 1.148423277467049e-19 8.681879031359847e-04 -2.450756878662564e-03
1.660105816947115e+00 1.418221684408444e-21 -1.842711146031211e-21 -3.614133236092635e-19 1.264042356615167e-19 6.240636831500730e-04 -2.593250129240049e-03
1.670612815788552e+00 1.274440018142412e-21 -2.018650420671961e-21 -3.493406788203465e-19 1.371427279605264e-19 3.785296081922636e-04 -2.717443054917415e-03
1.681119814629990e+00 1.127100278698398e-21 -2.183761973338256e-21 -3.360088938915832e-19 1.470222775978693e-19 1.330609343707330e-04 -2.823188869738824e-03
1.691626813471427e+00 9.768405178434320e-22 -2.337314236374183e-21 -3.214878197159604e-19 1.560111672104510e-19 -1.109168419006465e-04 -2.910440364805944e-03
1.702133812312864e+00 8.243016535285728e-22 -2.478633818395191e-21 -3.058524839023042e-19 1.640815625367343e-19 -3.520379989188831e-04 -2.979249304995747e-03
1.712640811154302e+00 6.701249630745981e-22 -2.607109174958975e-21 -2.891826938566791e-19 1.712095709415400e-19 -5.890058262135605e-04 -3.029765328916498e-03
1.723147809995739e+00 5.149496045277566e-22 -2.722193952228848e-21 -2.715626137152231e-19 1.773752849952409e-19 -8.206010088268754e-04 -3.062234356110526e-03
1.733654808837177e+00 3.594101756929562e-22 -2.823409982038738e-21 -2.530803175613707e-19 1.825628111068714e-19 -1.045689094365445e-03 -3.076996508184912e-03
1.744161807678614e+00 2.041343198454746e-22 -2.910349908760902e-21 -2.338273215141633e-19 1.867602832683699e-19 -1.263226987214533e-03 -3.074483553211159e-03
1.754668806520052e+00 4.974038729389630e-23 -2.982679430407301e-21 -2.138980974163353e-19 1.899598620168326e-19 -1.472268424066986e-03 -3.055215885385318e-03
1.765175805361489e+00 -1.031648387032070e-22 -3.040139138784799e-21 -1.933895709709363e-19 1.921577187782918e-19 -1.671968395132976e-03 -3.019799054531209e-03
1.775682804202927e+00 -2.539883432410897e-22 -3.082545945839401e-21 -1.724006072819927e-19 1.933540058052611e-19 -1.861586485801307e-03 -2.968919862586677e-03
1.786189803044364e+00 -4.021530004019146e-22 -3.109794085912959e-21 -1.510314868380679e-19 1.935528119739663e-19 -2.040489124176682e-03 -2.903342046668096e-03
1.796696801885801e+00 -5.470996055897965e-22 -3.121855686127776e-21 -1.293833750456615e-19 1.927621047544022e-19 -2.208150730574545e-03 -2.823901570702206e-03
