freq(Hz)	3.00e+09	eps_r	4	mu_r	1	sigma	0.00e+00
theta(rad)	RCS(m^2)
0.000000000e+00	8.314630708e+02
1.050699884e-02	8.083431542e+02
2.101399768e-02	7.422574059e+02
3.152099652e-02	6.423709430e+02
4.202799537e-02	5.219290285e+02
5.253499421e-02	3.957272482e+02
6.304199305e-02	2.774551263e+02
7.354899189e-02	1.775046065e+02
8.405599073e-02	1.016826272e+02
9.456298957e-02	5.101275541e+01
1.050699884e-01	2.253008661e+01
1.155769873e-01	1.074460412e+01
1.260839861e-01	9.328582833e+00
1.365909849e-01	1.259494008e+01
1.470979838e-01	1.645763435e+01
1.576049826e-01	1.875362556e+01
1.681119815e-01	1.899684116e+01
1.786189803e-01	1.777327896e+01
1.891259791e-01	1.604078196e+01
1.996329780e-01	1.456482771e+01
2.101399768e-01	1.362714230e+01
2.206469757e-01	1.302674476e+01
2.311539745e-01	1.229356916e+01
2.416609734e-01	1.098131226e+01
2.521679722e-01	8.907410005e+00
2.626749710e-01	6.253596208e+00
2.731819699e-01	3.507110476e+00
2.836889687e-01	1.284065791e+00
2.941959676e-01	1.127894017e-01
3.047029664e-01	2.581082035e-01
3.152099652e-01	1.642228452e+00
3.257169641e-01	3.877640548e+00
3.362239629e-01	6.388642134e+00
3.467309618e-01	8.573492251e+00
3.572379606e-01	9.954503047e+00
3.677449595e-01	1.027628977e+01
3.782519583e-01	9.535103047e+00
3.887589571e-01	7.945112130e+00
3.992659560e-01	5.863171155e+00
4.097729548e-01	3.698746061e+00
4.202799537e-01	1.831570531e+00
4.307869525e-01	5.504681248e-01
4.412939513e-01	1.747955188e-02
4.518009502e-01	2.553594026e-01
4.623079490e-01	1.154547930e+00
4.728149479e-01	2.496521620e+00
4.833219467e-01	3.991567405e+00
4.938289455e-01	5.328507529e+00
5.043359444e-01	6.231182401e+00
5.148429432e-01	6.512701893e+00
5.253499421e-01	6.115758713e+00
5.358569409e-01	5.127732279e+00
5.463639398e-01	3.763817836e+00
5.568709386e-01	2.319215749e+00
5.673779374e-01	1.100227421e+00
5.778849363e-01	3.509691733e-01
5.883919351e-01	1.948144450e-01
5.988989340e-01	6.064843757e-01
6.094059328e-01	1.422640655e+00
6.199129316e-01	2.388225105e+00
6.304199305e-01	3.225816556e+00
6.409269293e-01	3.708925407e+00
6.514339282e-01	3.719277791e+00
6.619409270e-01	3.272939208e+00
6.724479259e-01	2.509102128e+00
6.829549247e-01	1.645854102e+00
6.934619235e-01	9.162440156e-01
7.039689224e-01	5.029928478e-01
7.144759212e-01	4.899722560e-01
7.249829201e-01	8.433261428e-01
7.354899189e-01	1.426445172e+00
7.459969177e-01	2.043419673e+00
7.565039166e-01	2.497771313e+00
7.670109154e-01	2.649326697e+00
7.775179143e-01	2.453059979e+00
7.880249131e-01	1.969238381e+00
7.985319119e-01	1.342638175e+00
8.090389108e-01	7.575387599e-01
8.195459096e-01	3.820985694e-01
8.300529085e-01	3.186047884e-01
8.405599073e-01	5.741535961e-01
8.510669062e-01	1.060136355e+00
8.615739050e-01	1.620298652e+00
8.720809038e-01	2.078646287e+00
8.825879027e-01	2.292619349e+00
8.930949015e-01	2.195494450e+00
9.036019004e-01	1.815348139e+00
9.141088992e-01	1.265103547e+00
9.246158980e-01	7.070027701e-01
9.351228969e-01	3.026057249e-01
9.456298957e-01	1.637361380e-01
9.561368946e-01	3.193558892e-01
9.666438934e-01	7.083019071e-01
9.771508923e-01	1.199747923e+00
9.876578911e-01	1.634678907e+00
9.981648899e-01	1.875259758e+00
1.008671889e+00	1.846721148e+00
1.019178888e+00	1.558940331e+00
1.029685886e+00	1.101411833e+00
1.040192885e+00	6.136918875e-01
1.050699884e+00	2.410038948e-01
1.061206883e+00	8.913306584e-02
1.071713882e+00	1.926711386e-01
1.082220881e+00	5.061964312e-01
1.092727880e+00	9.205829948e-01
1.103234878e+00	1.298713761e+00
1.113741877e+00	1.518935305e+00
1.124248876e+00	1.512464994e+00
1.134755875e+00	1.283225229e+00
1.145262874e+00	9.044091212e-01
1.155769873e+00	4.935422112e-01
1.166276871e+00	1.744950152e-01
1.176783870e+00	3.873135730e-02
1.187290869e+00	1.179253577e-01
1.197797868e+00	3.761193464e-01
1.208304867e+00	7.232001855e-01
1.218811866e+00	1.044741086e+00
1.229318864e+00	1.238321196e+00
1.239825863e+00	1.244781963e+00
1.250332862e+00	1.064901076e+00
1.260839861e+00	7.568809163e-01
1.271346860e+00	4.161990445e-01
1.281853859e+00	1.447764573e-01
1.292360857e+00	1.942907227e-02
1.302867856e+00	6.935065036e-02
1.313374855e+00	2.691505972e-01
1.323881854e+00	5.488840594e-01
1.334388853e+00	8.172307672e-01
1.344895852e+00	9.901418991e-01
1.355402851e+00	1.015984130e+00
1.365909849e+00	8.897240544e-01
1.376416848e+00	6.523964510e-01
1.386923847e+00	3.767374445e-01
1.397430846e+00	1.439804098e-01
1.407937845e+00	1.919869210e-02
1.418444844e+00	3.262260250e-02
1.428951842e+00	1.721872631e-01
1.439458841e+00	3.889618692e-01
1.449965840e+00	6.132221930e-01
1.460472839e+00	7.759160565e-01
1.470979838e+00	8.289629661e-01
1.481486837e+00	7.585026848e-01
1.491993835e+00	5.875523676e-01
1.502500834e+00	3.677777957e-01
1.513007833e+00	1.632511060e-01
1.523514832e+00	3.125458556e-02
1.534021831e+00	5.823212686e-03
1.544528830e+00	8.869048077e-02
1.555035829e+00	2.499777125e-01
1.565542827e+00	4.380605713e-01
1.576049826e+00	5.954086352e-01
1.586556825e+00	6.755710641e-01
1.597063824e+00	6.563097062e-01
1.607570823e+00	5.451703744e-01
1.618077822e+00	3.761213751e-01
1.628584820e+00	1.985652465e-01
1.639091819e+00	6.224577632e-02
1.649598818e+00	2.676462922e-03
1.660105817e+00	3.140026084e-02
1.670612816e+00	1.337813171e-01
1.681119815e+00	2.746507106e-01
1.691626813e+00	4.097340278e-01
1.702133812e+00	4.991240152e-01
1.712640811e+00	5.186242886e-01
1.723147810e+00	4.656726841e-01
1.733654809e+00	3.584194650e-01
1.744161808e+00	2.287426067e-01
1.754668807e+00	1.118015242e-01
1.765175805e+00	3.559667905e-02
1.775682804e+00	1.369802429e-02
1.786189803e+00	4.301767037e-02
1.796696802e+00	1.067363465e-01
1.807203801e+00	1.808758132e-01
1.817710800e+00	2.420608677e-01
1.828217798e+00	2.739750081e-01
1.838724797e+00	2.707836688e-01
1.849231796e+00	2.370098443e-01
1.859738795e+00	1.845255384e-01
1.870245794e+00	1.280764243e-01
1.880752793e+00	8.090856681e-02
1.891259791e+00	5.168537448e-02
1.901766790e+00	4.322003468e-02
1.912273789e+00	5.290254478e-02
1.922780788e+00	7.428984590e-02
1.933287787e+00	9.921824402e-02
1.943794786e+00	1.199105109e-01
1.954301785e+00	1.307365746e-01
1.964808783e+00	1.294216017e-01
1.975315782e+00	1.175426587e-01
1.985822781e+00	1.001720458e-01
1.996329780e+00	8.460780555e-02
2.006836779e+00	7.833719538e-02
2.017343778e+00	8.667102693e-02
2.027850776e+00	1.107379072e-01
2.038357775e+00	1.465792111e-01
2.048864774e+00	1.858394785e-01
2.059371773e+00	2.180351976e-01
2.069878772e+00	2.337810189e-01
2.080385771e+00	2.279075212e-01
2.090892769e+00	2.013357871e-01
2.101399768e+00	1.609558232e-01
2.111906767e+00	1.174697528e-01
2.122413766e+00	8.193187583e-02
2.132920765e+00	6.222781823e-02
2.143427764e+00	6.076244590e-02
2.153934762e+00	7.414911244e-02
2.164441761e+00	9.490533583e-02
2.174948760e+00	1.143912833e-01
2.185455759e+00	1.257977493e-01
2.195962758e+00	1.260693557e-01
2.206469757e+00	1.161813019e-01
2.216976756e+00	9.992173367e-02
2.227483754e+00	8.193433054e-02
2.237990753e+00	6.598739690e-02
2.248497752e+00	5.418674184e-02
2.259004751e+00	4.728709761e-02
2.269511750e+00	4.567011454e-02
2.280018749e+00	5.023678907e-02
2.290525747e+00	6.256075456e-02
2.301032746e+00	8.410756981e-02
2.311539745e+00	1.149040795e-01
2.322046744e+00	1.524373859e-01
2.332553743e+00	1.915568546e-01
2.343060742e+00	2.257222297e-01
2.353567740e+00	2.492762806e-01
2.364074739e+00	2.598386461e-01
2.374581738e+00	2.597143454e-01
2.385088737e+00	2.555169228e-01
2.395595736e+00	2.559193612e-01
2.406102735e+00	2.682666091e-01
2.416609734e+00	2.953468194e-01
2.427116732e+00	3.336575812e-01
2.437623731e+00	3.739740114e-01
2.448130730e+00	4.041315150e-01
