freq(Hz)	1.50e+09	eps_r	100000000.0	mu_r	0.0	sigma	0.00e+00
theta(rad)	RCS(m^2)
1.828217798e+00	7.234773227e-01
1.838724797e+00	7.492874076e-01
1.849231796e+00	7.766713258e-01
1.859738795e+00	8.035621597e-01
1.870245794e+00	8.280200302e-01
1.880752793e+00	8.483683462e-01
1.891259791e+00	8.633034998e-01
1.901766790e+00	8.719715182e-01
1.912273789e+00	8.740080076e-01
1.922780788e+00	8.695406282e-01
1.933287787e+00	8.591560990e-01
1.943794786e+00	8.438361613e-01
1.954301785e+00	8.248688784e-01
1.964808783e+00	8.037430016e-01
1.975315782e+00	7.820338496e-01
1.985822781e+00	7.612892113e-01
1.996329780e+00	7.429232456e-01
2.006836779e+00	7.281252859e-01
2.017343778e+00	7.177889876e-01
2.027850776e+00	7.124655057e-01
2.038357775e+00	7.123425051e-01
2.048864774e+00	7.172489240e-01
2.059371773e+00	7.266836667e-01
2.069878772e+00	7.398648950e-01
2.080385771e+00	7.557954150e-01
2.090892769e+00	7.733388611e-01
2.101399768e+00	7.913009963e-01
2.111906767e+00	8.085104702e-01
2.122413766e+00	8.238937695e-01
2.132920765e+00	8.365398111e-01
2.143427764e+00	8.457505944e-01
2.153934762e+00	8.510754619e-01
2.164441761e+00	8.523277314e-01
2.174948760e+00	8.495836771e-01
2.185455759e+00	8.431649661e-01
2.195962758e+00	8.336066396e-01
2.206469757e+00	8.216135092e-01
2.216976756e+00	8.080083842e-01
2.227483754e+00	7.936758382e-01
2.237990753e+00	7.795052595e-01
2.248497752e+00	7.663367347e-01
2.259004751e+00	7.549129028e-01
2.269511750e+00	7.458393507e-01
2.280018749e+00	7.395554237e-01
2.290525747e+00	7.363165714e-01
2.301032746e+00	7.361885748e-01
2.311539745e+00	7.390532633e-01
2.322046744e+00	7.446246706e-01
2.332553743e+00	7.524740274e-01
2.343060742e+00	7.620615806e-01
2.353567740e+00	7.727729624e-01
2.364074739e+00	7.839577311e-01
2.374581738e+00	7.949677450e-01
2.385088737e+00	8.051932055e-01
2.395595736e+00	8.140944988e-01
2.406102735e+00	8.212283329e-01
2.416609734e+00	8.262671021e-01
2.427116732e+00	8.290108647e-01
2.437623731e+00	8.293917715e-01
2.448130730e+00	8.274712099e-01
2.458637729e+00	8.234302987e-01
2.469144728e+00	8.175546779e-01
2.479651727e+00	8.102147641e-01
2.490158725e+00	8.018427906e-01
2.500665724e+00	7.929080121e-01
2.511172723e+00	7.838914432e-01
2.521679722e+00	7.752614128e-01
2.532186721e+00	7.674510813e-01
2.542693720e+00	7.608388793e-01
2.553200718e+00	7.557326167e-01
2.563707717e+00	7.523577781e-01
2.574214716e+00	7.508502898e-01
2.584721715e+00	7.512538144e-01
2.595228714e+00	7.535214255e-01
2.605735713e+00	7.575213239e-01
2.616242712e+00	7.630461085e-01
2.626749710e+00	7.698249864e-01
2.637256709e+00	7.775382237e-01
2.647763708e+00	7.858330823e-01
2.658270707e+00	7.943404707e-01
2.668777706e+00	8.026915492e-01
2.679284705e+00	8.105335720e-01
2.689791703e+00	8.175443211e-01
2.700298702e+00	8.234445752e-01
2.710805701e+00	8.280081721e-01
2.721312700e+00	8.310693466e-01
2.731819699e+00	8.325271588e-01
2.742326698e+00	8.323469681e-01
2.752833696e+00	8.305590393e-01
2.763340695e+00	8.272544954e-01
2.773847694e+00	8.225789409e-01
