freq(Hz)	3.00e+09	eps_r	4	mu_r	1	sigma	0.00e+00
theta(rad)	RCS(m^2)
0.000000000e+00	8.314630708e+02
1.050699884e-02	8.077475562e+02
2.101399768e-02	7.400513265e+02
3.152099652e-02	6.380094894e+02
4.202799537e-02	5.154757093e+02
5.253499421e-02	3.877971184e+02
6.304199305e-02	2.689919692e+02
7.354899189e-02	1.694773683e+02
8.405599073e-02	9.480842886e+01
9.456298957e-02	4.559550467e+01
1.050699884e-01	1.845433552e+01
1.155769873e-01	7.604698038e+00
1.260839861e-01	6.626847275e+00
1.365909849e-01	9.926309626e+00
1.470979838e-01	1.361531007e+01
1.576049826e-01	1.573098239e+01
1.681119815e-01	1.590625579e+01
1.786189803e-01	1.473385946e+01
1.891259791e-01	1.309270211e+01
1.996329780e-01	1.164829174e+01
2.101399768e-01	1.062974270e+01
2.206469757e-01	9.870166019e+00
2.311539745e-01	9.013319468e+00
2.416609734e-01	7.757760873e+00
2.521679722e-01	6.029376086e+00
2.626749710e-01	4.026013968e+00
2.731819699e-01	2.138542679e+00
2.836889687e-01	7.982399548e-01
2.941959676e-01	3.184340447e-01
3.047029664e-01	7.884597396e-01
3.152099652e-01	2.049786563e+00
3.257169641e-01	3.751372799e+00
3.362239629e-01	5.456108756e+00
3.467309618e-01	6.759367040e+00
3.572379606e-01	7.384398103e+00
3.677449595e-01	7.232869420e+00
3.782519583e-01	6.385516121e+00
3.887589571e-01	5.061792303e+00
3.992659560e-01	3.555348721e+00
4.097729548e-01	2.163769393e+00
4.202799537e-01	1.127952584e+00
4.307869525e-01	5.911960465e-01
4.412939513e-01	5.824256665e-01
4.518009502e-01	1.023189219e+00
4.623079490e-01	1.754336834e+00
4.728149479e-01	2.575672670e+00
4.833219467e-01	3.290260756e+00
4.938289455e-01	3.744655721e+00
5.043359444e-01	3.857330446e+00
5.148429432e-01	3.630038804e+00
5.253499421e-01	3.140466842e+00
5.358569409e-01	2.518585941e+00
5.463639398e-01	1.912699988e+00
5.568709386e-01	1.453399120e+00
5.673779374e-01	1.223929996e+00
5.778849363e-01	1.243772819e+00
5.883919351e-01	1.468876635e+00
5.988989340e-01	1.807838078e+00
6.094059328e-01	2.149318768e+00
6.199129316e-01	2.393178364e+00
6.304199305e-01	2.476909480e+00
6.409269293e-01	2.390307456e+00
6.514339282e-01	2.174625166e+00
6.619409270e-01	1.906906675e+00
6.724479259e-01	1.674516630e+00
6.829549247e-01	1.547772332e+00
6.934619235e-01	1.559083956e+00
7.039689224e-01	1.694870425e+00
7.144759212e-01	1.902363692e+00
7.249829201e-01	2.108577102e+00
7.354899189e-01	2.244813850e+00
7.459969177e-01	2.268464140e+00
7.565039166e-01	2.175038608e+00
7.670109154e-01	1.996960910e+00
7.775179143e-01	1.790293615e+00
7.880249131e-01	1.614626483e+00
7.985319119e-01	1.513395673e+00
8.090389108e-01	1.501283446e+00
8.195459096e-01	1.562423039e+00
8.300529085e-01	1.659083136e+00
8.405599073e-01	1.746862113e+00
8.510669062e-01	1.790475533e+00
8.615739050e-01	1.774553476e+00
8.720809038e-01	1.706177834e+00
8.825879027e-01	1.609176085e+00
8.930949015e-01	1.513161051e+00
9.036019004e-01	1.441903274e+00
9.141088992e-01	1.405383190e+00
9.246158980e-01	1.398054192e+00
9.351228969e-01	1.403275086e+00
9.456298957e-01	1.401564856e+00
9.561368946e-01	1.379123543e+00
9.666438934e-01	1.333296064e+00
9.771508923e-01	1.273111698e+00
9.876578911e-01	1.215059721e+00
9.981648899e-01	1.176058576e+00
1.008671889e+00	1.166496475e+00
1.019178888e+00	1.185999377e+00
1.029685886e+00	1.223394738e+00
1.040192885e+00	1.260701860e+00
1.050699884e+00	1.279526917e+00
1.061206883e+00	1.267483794e+00
1.071713882e+00	1.222410717e+00
1.082220881e+00	1.153068344e+00
1.092727880e+00	1.076285179e+00
1.103234878e+00	1.011674158e+00
1.113741877e+00	9.756996444e-01
1.124248876e+00	9.768822293e-01
1.134755875e+00	1.013398241e+00
1.145262874e+00	1.073536810e+00
1.155769873e+00	1.138717246e+00
1.166276871e+00	1.188237540e+00
1.176783870e+00	1.204661206e+00
1.187290869e+00	1.178682807e+00
1.197797868e+00	1.112359117e+00
1.208304867e+00	1.019747206e+00
1.218811866e+00	9.243413655e-01
1.229318864e+00	8.533534746e-01
1.239825863e+00	8.298277242e-01
1.250332862e+00	8.645981463e-01
1.260839861e+00	9.507619930e-01
1.271346860e+00	1.063187483e+00
1.281853859e+00	1.164344939e+00
1.292360857e+00	1.215625548e+00
1.302867856e+00	1.190965094e+00
1.313374855e+00	1.087999583e+00
1.323881854e+00	9.320313711e-01
1.334388853e+00	7.701203972e-01
1.344895852e+00	6.561486801e-01
1.355402851e+00	6.314803916e-01
1.365909849e+00	7.082650640e-01
1.376416848e+00	8.622588634e-01
1.386923847e+00	1.038981601e+00
1.397430846e+00	1.172028147e+00
1.407937845e+00	1.207321661e+00
1.418444844e+00	1.124169735e+00
1.428951842e+00	9.446009187e-01
