freq(Hz)	2.50e+08	eps_r	100000000.0	mu_r	0.0	sigma	0.00e+00
theta(rad)	RCS(m^2)
0.000000000e+00	6.441911269e+00
1.050699884e-02	6.439964794e+00
2.101399768e-02	6.434131163e+00
3.152099652e-02	6.424427734e+00
4.202799537e-02	6.410883362e+00
5.253499421e-02	6.393538286e+00
6.304199305e-02	6.372443972e+00
7.354899189e-02	6.347662915e+00
8.405599073e-02	6.319268392e+00
9.456298957e-02	6.287344177e+00
1.050699884e-01	6.251984220e+00
1.155769873e-01	6.213292280e+00
1.260839861e-01	6.171381520e+00
1.365909849e-01	6.126374075e+00
1.470979838e-01	6.078400578e+00
1.576049826e-01	6.027599654e+00
1.681119815e-01	5.974117395e+00
1.786189803e-01	5.918106790e+00
1.891259791e-01	5.859727151e+00
1.996329780e-01	5.799143496e+00
2.101399768e-01	5.736525931e+00
2.206469757e-01	5.672048997e+00
2.311539745e-01	5.605891022e+00
2.416609734e-01	5.538233443e+00
2.521679722e-01	5.469260130e+00
2.626749710e-01	5.399156705e+00
2.731819699e-01	5.328109850e+00
2.836889687e-01	5.256306624e+00
2.941959676e-01	5.183933776e+00
3.047029664e-01	5.111177064e+00
3.152099652e-01	5.038220589e+00
3.257169641e-01	4.965246133e+00
3.362239629e-01	4.892432512e+00
3.467309618e-01	4.819954948e+00
3.572379606e-01	4.747984457e+00
3.677449595e-01	4.676687259e+00
3.782519583e-01	4.606224215e+00
3.887589571e-01	4.536750279e+00
3.992659560e-01	4.468413994e+00
4.097729548e-01	4.401357000e+00
4.202799537e-01	4.335713588e+00
4.307869525e-01	4.271610277e+00
4.412939513e-01	4.209165429e+00
4.518009502e-01	4.148488902e+00
4.623079490e-01	4.089681734e+00
4.728149479e-01	4.032835871e+00
4.833219467e-01	3.978033927e+00
4.938289455e-01	3.925348989e+00
5.043359444e-01	3.874844457e+00
5.148429432e-01	3.826573929e+00
5.253499421e-01	3.780581116e+00
5.358569409e-01	3.736899810e+00
5.463639398e-01	3.695553881e+00
5.568709386e-01	3.656557317e+00
5.673779374e-01	3.619914300e+00
5.778849363e-01	3.585619329e+00
5.883919351e-01	3.553657363e+00
5.988989340e-01	3.524004015e+00
6.094059328e-01	3.496625775e+00
6.199129316e-01	3.471480263e+00
6.304199305e-01	3.448516520e+00
6.409269293e-01	3.427675323e+00
6.514339282e-01	3.408889534e+00
6.619409270e-01	3.392084474e+00
6.724479259e-01	3.377178317e+00
6.829549247e-01	3.364082517e+00
6.934619235e-01	3.352702244e+00
7.039689224e-01	3.342936853e+00
7.144759212e-01	3.334680353e+00
7.249829201e-01	3.327821907e+00
7.354899189e-01	3.322246331e+00
7.459969177e-01	3.317834614e+00
7.565039166e-01	3.314464439e+00
7.670109154e-01	3.312010708e+00
7.775179143e-01	3.310346081e+00
7.880249131e-01	3.309341506e+00
7.985319119e-01	3.308866751e+00
8.090389108e-01	3.308790936e+00
8.195459096e-01	3.308983055e+00
8.300529085e-01	3.309312497e+00
8.405599073e-01	3.309649553e+00
8.510669062e-01	3.309865914e+00
8.615739050e-01	3.309835154e+00
8.720809038e-01	3.309433204e+00
8.825879027e-01	3.308538804e+00
8.930949015e-01	3.307033942e+00
9.036019004e-01	3.304804270e+00
9.141088992e-01	3.301739500e+00
9.246158980e-01	3.297733784e+00
9.351228969e-01	3.292686062e+00
9.456298957e-01	3.286500395e+00
9.561368946e-01	3.279086267e+00
9.666438934e-01	3.270358866e+00
9.771508923e-01	3.260239333e+00
9.876578911e-01	3.248654993e+00
9.981648899e-01	3.235539553e+00
1.008671889e+00	3.220833272e+00
1.019178888e+00	3.204483106e+00
1.029685886e+00	3.186442828e+00
1.040192885e+00	3.166673112e+00
1.050699884e+00	3.145141600e+00
1.061206883e+00	3.121822934e+00
1.071713882e+00	3.096698765e+00
1.082220881e+00	3.069757736e+00
1.092727880e+00	3.040995437e+00
1.103234878e+00	3.010414337e+00
1.113741877e+00	2.978023689e+00
1.124248876e+00	2.943839418e+00
1.134755875e+00	2.907883979e+00
1.145262874e+00	2.870186196e+00
1.155769873e+00	2.830781083e+00
1.166276871e+00	2.789709643e+00
1.176783870e+00	2.747018649e+00
1.187290869e+00	2.702760407e+00
1.197797868e+00	2.656992510e+00
1.208304867e+00	2.609777562e+00
1.218811866e+00	2.561182909e+00
1.229318864e+00	2.511280341e+00
1.239825863e+00	2.460145793e+00
1.250332862e+00	2.407859031e+00
1.260839861e+00	2.354503337e+00
1.271346860e+00	2.300165181e+00
1.281853859e+00	2.244933889e+00
1.292360857e+00	2.188901310e+00
1.302867856e+00	2.132161478e+00
1.313374855e+00	2.074810275e+00
1.323881854e+00	2.016945089e+00
1.334388853e+00	1.958664482e+00
1.344895852e+00	1.900067850e+00
1.355402851e+00	1.841255093e+00
1.365909849e+00	1.782326291e+00
1.376416848e+00	1.723381380e+00
1.386923847e+00	1.664519842e+00
1.397430846e+00	1.605840394e+00
1.407937845e+00	1.547440695e+00
1.418444844e+00	1.489417055e+00
1.428951842e+00	1.431864160e+00
1.439458841e+00	1.374874805e+00
1.449965840e+00	1.318539639e+00
1.460472839e+00	1.262946922e+00
1.470979838e+00	1.208182298e+00
1.481486837e+00	1.154328580e+00
1.491993835e+00	1.101465546e+00
1.502500834e+00	1.049669751e+00
1.513007833e+00	9.990143580e-01
1.523514832e+00	9.495689771e-01
1.534021831e+00	9.013995232e-01
1.544528830e+00	8.545680885e-01
1.555035829e+00	8.091328298e-01
1.565542827e+00	7.651478710e-01
1.576049826e+00	7.226632209e-01
1.586556825e+00	6.817247059e-01
1.597063824e+00	6.423739179e-01
1.607570823e+00	6.046481767e-01
1.618077822e+00	5.685805064e-01
1.628584820e+00	5.341996270e-01
1.639091819e+00	5.015299584e-01
1.649598818e+00	4.705916393e-01
1.660105817e+00	4.414005578e-01
1.670612816e+00	4.139683954e-01
1.681119815e+00	3.883026825e-01
1.691626813e+00	3.644068662e-01
1.702133812e+00	3.422803879e-01
1.712640811e+00	3.219187728e-01
1.723147810e+00	3.033137278e-01
1.733654809e+00	2.864532502e-01
1.744161808e+00	2.713217433e-01
1.754668807e+00	2.579001418e-01
1.765175805e+00	2.461660432e-01
1.775682804e+00	2.360938467e-01
1.786189803e+00	2.276548979e-01
1.796696802e+00	2.208176389e-01
1.807203801e+00	2.155477635e-01
1.817710800e+00	2.118083761e-01
1.828217798e+00	2.095601547e-01
1.838724797e+00	2.087615159e-01
1.849231796e+00	2.093687831e-01
1.859738795e+00	2.113363558e-01
1.870245794e+00	2.146168798e-01
1.880752793e+00	2.191614185e-01
1.891259791e+00	2.249196234e-01
1.901766790e+00	2.318399041e-01
1.912273789e+00	2.398695978e-01
1.922780788e+00	2.489551357e-01
1.933287787e+00	2.590422090e-01
1.943794786e+00	2.700759305e-01
1.954301785e+00	2.820009943e-01
1.964808783e+00	2.947618317e-01
1.975315782e+00	3.083027628e-01
1.985822781e+00	3.225681444e-01
1.996329780e+00	3.375025132e-01
2.006836779e+00	3.530507236e-01
2.017343778e+00	3.691580810e-01
2.027850776e+00	3.857704692e-01
2.038357775e+00	4.028344724e-01
2.048864774e+00	4.202974908e-01
2.059371773e+00	4.381078511e-01
2.069878772e+00	4.562149095e-01
2.080385771e+00	4.745691499e-01
2.090892769e+00	4.931222740e-01
2.101399768e+00	5.118272864e-01
2.111906767e+00	5.306385718e-01
2.122413766e+00	5.495119669e-01
2.132920765e+00	5.684048246e-01
2.143427764e+00	5.872760724e-01
2.153934762e+00	6.060862638e-01
2.164441761e+00	6.247976233e-01
2.174948760e+00	6.433740853e-01
2.185455759e+00	6.617813263e-01
2.195962758e+00	6.799867910e-01
2.206469757e+00	6.979597129e-01
2.216976756e+00	7.156711280e-01
2.227483754e+00	7.330938835e-01
2.237990753e+00	7.502026411e-01
2.248497752e+00	7.669738739e-01
2.259004751e+00	7.833858593e-01
2.269511750e+00	7.994186661e-01
2.280018749e+00	8.150541374e-01
2.290525747e+00	8.302758689e-01
2.301032746e+00	8.450691822e-01
2.311539745e+00	8.594210954e-01
2.322046744e+00	8.733202885e-01
2.332553743e+00	8.867570663e-01
2.343060742e+00	8.997233176e-01
2.353567740e+00	9.122124710e-01
2.364074739e+00	9.242194489e-01
2.374581738e+00	9.357406179e-01
2.385088737e+00	9.467737376e-01
2.395595736e+00	9.573179071e-01
2.406102735e+00	9.673735100e-01
2.416609734e+00	9.769421575e-01
2.427116732e+00	9.860266308e-01
2.437623731e+00	9.946308215e-01
2.448130730e+00	1.002759673e+00
2.458637729e+00	1.010419118e+00
2.469144728e+00	1.017616020e+00
2.479651727e+00	1.024358112e+00
2.490158725e+00	1.030653934e+00
2.500665724e+00	1.036512776e+00
2.511172723e+00	1.041944614e+00
2.521679722e+00	1.046960053e+00
2.532186721e+00	1.051570268e+00
2.542693720e+00	1.055786946e+00
2.553200718e+00	1.059622230e+00
2.563707717e+00	1.063088663e+00
2.574214716e+00	1.066199135e+00
2.584721715e+00	1.068966832e+00
2.595228714e+00	1.071405182e+00
2.605735713e+00	1.073527808e+00
2.616242712e+00	1.075348481e+00
2.626749710e+00	1.076881074e+00
2.637256709e+00	1.078139522e+00
2.647763708e+00	1.079137775e+00
2.658270707e+00	1.079889762e+00
2.668777706e+00	1.080409356e+00
2.679284705e+00	1.080710336e+00
2.689791703e+00	1.080806355e+00
2.700298702e+00	1.080710910e+00
2.710805701e+00	1.080437313e+00
2.721312700e+00	1.079998666e+00
2.731819699e+00	1.079407834e+00
2.742326698e+00	1.078677428e+00
2.752833696e+00	1.077819780e+00
2.763340695e+00	1.076846926e+00
2.773847694e+00	1.075770595e+00
2.784354693e+00	1.074602188e+00
2.794861692e+00	1.073352771e+00
2.805368691e+00	1.072033062e+00
2.815875690e+00	1.070653424e+00
2.826382688e+00	1.069223857e+00
2.836889687e+00	1.067753994e+00
2.847396686e+00	1.066253096e+00
2.857903685e+00	1.064730049e+00
2.868410684e+00	1.063193365e+00
2.878917683e+00	1.061651181e+00
2.889424681e+00	1.060111259e+00
2.899931680e+00	1.058580990e+00
2.910438679e+00	1.057067396e+00
2.920945678e+00	1.055577134e+00
2.931452677e+00	1.054116502e+00
2.941959676e+00	1.052691443e+00
2.952466674e+00	1.051307550e+00
2.962973673e+00	1.049970075e+00
2.973480672e+00	1.048683933e+00
2.983987671e+00	1.047453708e+00
2.994494670e+00	1.046283665e+00
