freq(Hz)	1.50e+09	eps_r	100000000.0	mu_r	0.0	sigma	0.00e+00
theta(rad)	RCS(m^2)
0.000000000e+00	2.020254193e+02
1.050699884e-02	2.004825490e+02
2.101399768e-02	1.959145246e+02
3.152099652e-02	1.884997196e+02
4.202799537e-02	1.785243710e+02
5.253499421e-02	1.663667891e+02
6.304199305e-02	1.524767649e+02
7.354899189e-02	1.373515499e+02
8.405599073e-02	1.215099837e+02
9.456298957e-02	1.054664332e+02
1.050699884e-01	8.970616913e+01
1.155769873e-01	7.466365087e+01
1.260839861e-01	6.070493353e+01
1.365909849e-01	4.811507850e+01
1.470979838e-01	3.709106131e+01
1.576049826e-01	2.774026898e+01
1.681119815e-01	2.008428919e+01
1.786189803e-01	1.406734781e+01
1.891259791e-01	9.568473654e+00
1.996329780e-01	6.416277478e+00
2.101399768e-01	4.405136431e+00
2.206469757e-01	3.311576650e+00
2.311539745e-01	2.909738936e+00
2.416609734e-01	2.984981573e+00
2.521679722e-01	3.344901349e+00
2.626749710e-01	3.827315782e+00
2.731819699e-01	4.305022632e+00
2.836889687e-01	4.687413870e+00
2.941959676e-01	4.919250075e+00
3.047029664e-01	4.977082026e+00
3.152099652e-01	4.863928560e+00
3.257169641e-01	4.602879263e+00
3.362239629e-01	4.230288564e+00
3.467309618e-01	3.789171011e+00
3.572379606e-01	3.323306650e+00
3.677449595e-01	2.872434120e+00
3.782519583e-01	2.468762201e+00
3.887589571e-01	2.134882832e+00
3.992659560e-01	1.883033207e+00
4.097729548e-01	1.715542193e+00
4.202799537e-01	1.626214148e+00
4.307869525e-01	1.602355099e+00
4.412939513e-01	1.627132148e+00
4.518009502e-01	1.681973798e+00
4.623079490e-01	1.748761023e+00
4.728149479e-01	1.811618867e+00
4.833219467e-01	1.858188069e+00
4.938289455e-01	1.880327421e+00
5.043359444e-01	1.874263282e+00
5.148429432e-01	1.840256910e+00
5.253499421e-01	1.781899422e+00
5.358569409e-01	1.705166206e+00
5.463639398e-01	1.617367876e+00
5.568709386e-01	1.526124970e+00
5.673779374e-01	1.438471923e+00
5.778849363e-01	1.360166168e+00
5.883919351e-01	1.295244920e+00
5.988989340e-01	1.245839193e+00
6.094059328e-01	1.212225474e+00
6.199129316e-01	1.193072713e+00
6.304199305e-01	1.185827482e+00
6.409269293e-01	1.187173743e+00
6.514339282e-01	1.193505130e+00
6.619409270e-01	1.201355762e+00
6.724479259e-01	1.207748401e+00
6.829549247e-01	1.210434288e+00
6.934619235e-01	1.208014982e+00
7.039689224e-01	1.199951250e+00
7.144759212e-01	1.186475936e+00
7.249829201e-01	1.168435955e+00
7.354899189e-01	1.147092613e+00
7.459969177e-01	1.123909576e+00
7.565039166e-01	1.100354562e+00
7.670109154e-01	1.077735013e+00
7.775179143e-01	1.057080796e+00
7.880249131e-01	1.039079348e+00
7.985319119e-01	1.024061615e+00
8.090389108e-01	1.012031400e+00
8.195459096e-01	1.002726797e+00
8.300529085e-01	9.957004791e-01
8.405599073e-01	9.904055999e-01
8.510669062e-01	9.862757192e-01
8.615739050e-01	9.827900040e-01
8.720809038e-01	9.795184081e-01
8.825879027e-01	9.761451235e-01
8.930949015e-01	9.724717971e-01
9.036019004e-01	9.684044796e-01
9.141088992e-01	9.639297994e-01
9.246158980e-01	9.590863689e-01
9.351228969e-01	9.539370138e-01
9.456298957e-01	9.485462561e-01
9.561368946e-01	9.429658504e-01
9.666438934e-01	9.372293587e-01
9.771508923e-01	9.313550410e-01
9.876578911e-01	9.253549632e-01
9.981648899e-01	9.192473553e-01
1.008671889e+00	9.130689493e-01
1.019178888e+00	9.068842857e-01
1.029685886e+00	9.007897021e-01
1.040192885e+00	8.949107661e-01
1.050699884e+00	8.893930978e-01
1.061206883e+00	8.843876739e-01
1.071713882e+00	8.800326376e-01
1.082220881e+00	8.764342402e-01
1.092727880e+00	8.736497432e-01
1.103234878e+00	8.716748927e-01
1.113741877e+00	8.704379966e-01
1.124248876e+00	8.698017753e-01
1.134755875e+00	8.695731426e-01
1.145262874e+00	8.695200462e-01
1.155769873e+00	8.693935838e-01
1.166276871e+00	8.689529323e-01
1.176783870e+00	8.679902584e-01
1.187290869e+00	8.663527556e-01
1.197797868e+00	8.639592758e-01
1.208304867e+00	8.608096395e-01
1.218811866e+00	8.569855410e-01
1.229318864e+00	8.526429078e-01
1.239825863e+00	8.479965225e-01
1.250332862e+00	8.432985509e-01
1.260839861e+00	8.388132620e-01
1.271346860e+00	8.347906057e-01
1.281853859e+00	8.314413916e-01
1.292360857e+00	8.289166011e-01
1.302867856e+00	8.272928835e-01
1.313374855e+00	8.265656086e-01
1.323881854e+00	8.266500410e-01
1.334388853e+00	8.273903622e-01
1.344895852e+00	8.285754813e-01
1.355402851e+00	8.299599215e-01
1.365909849e+00	8.312876123e-01
1.376416848e+00	8.323161938e-01
1.386923847e+00	8.328394622e-01
1.397430846e+00	8.327058429e-01
1.407937845e+00	8.318312319e-01
1.418444844e+00	8.302051504e-01
1.428951842e+00	8.278898318e-01
1.439458841e+00	8.250125525e-01
1.449965840e+00	8.217521486e-01
1.460472839e+00	8.183211698e-01
1.470979838e+00	8.149454828e-01
1.481486837e+00	8.118432970e-01
1.491993835e+00	8.092055643e-01
1.502500834e+00	8.071794964e-01
1.513007833e+00	8.058565854e-01
1.523514832e+00	8.052660415e-01
1.534021831e+00	8.053740318e-01
1.544528830e+00	8.060885607e-01
1.555035829e+00	8.072693329e-01
1.565542827e+00	8.087415216e-01
1.576049826e+00	8.103120670e-01
1.586556825e+00	8.117869654e-01
1.597063824e+00	8.129879956e-01
1.607570823e+00	8.137674501e-01
1.618077822e+00	8.140196775e-01
1.628584820e+00	8.136885801e-01
1.639091819e+00	8.127705967e-01
1.649598818e+00	8.113131146e-01
1.660105817e+00	8.094086454e-01
1.670612816e+00	8.071854459e-01
1.681119815e+00	8.047955294e-01
1.691626813e+00	8.024011884e-01
1.702133812e+00	8.001612160e-01
1.712640811e+00	7.982179807e-01
1.723147810e+00	7.966863788e-01
1.733654809e+00	7.956454828e-01
1.744161808e+00	7.951334410e-01
1.754668807e+00	7.951458909e-01
1.765175805e+00	7.956378490e-01
1.775682804e+00	7.965287640e-01
1.786189803e+00	7.977101794e-01
1.796696802e+00	7.990552757e-01
1.807203801e+00	8.004294508e-01
1.817710800e+00	8.017010570e-01
1.828217798e+00	8.027514517e-01
1.838724797e+00	8.034836138e-01
1.849231796e+00	8.038287301e-01
1.859738795e+00	8.037503438e-01
1.870245794e+00	8.032458668e-01
1.880752793e+00	8.023454682e-01
1.891259791e+00	8.011085506e-01
1.901766790e+00	7.996181944e-01
1.912273789e+00	7.979740847e-01
1.922780788e+00	7.962845178e-01
1.933287787e+00	7.946581224e-01
1.943794786e+00	7.931959154e-01
1.954301785e+00	7.919842540e-01
1.964808783e+00	7.910891528e-01
1.975315782e+00	7.905523050e-01
1.985822781e+00	7.903890115e-01
1.996329780e+00	7.905880706e-01
2.006836779e+00	7.911135393e-01
2.017343778e+00	7.919081523e-01
2.027850776e+00	7.928980779e-01
2.038357775e+00	7.939986148e-01
2.048864774e+00	7.951203928e-01
2.059371773e+00	7.961756258e-01
2.069878772e+00	7.970839909e-01
2.080385771e+00	7.977777535e-01
2.090892769e+00	7.982058305e-01
2.101399768e+00	7.983365740e-01
2.111906767e+00	7.981591512e-01
2.122413766e+00	7.976835002e-01
2.132920765e+00	7.969389333e-01
2.143427764e+00	7.959715432e-01
2.153934762e+00	7.948406402e-01
2.164441761e+00	7.936144942e-01
2.174948760e+00	7.923656863e-01
2.185455759e+00	7.911663837e-01
2.195962758e+00	7.900838377e-01
2.206469757e+00	7.891763751e-01
2.216976756e+00	7.884901062e-01
2.227483754e+00	7.880565188e-01
2.237990753e+00	7.878910615e-01
2.248497752e+00	7.879927550e-01
2.259004751e+00	7.883448046e-01
2.269511750e+00	7.889161322e-01
2.280018749e+00	7.896636900e-01
2.290525747e+00	7.905353851e-01
2.301032746e+00	7.914734153e-01
2.311539745e+00	7.924178022e-01
2.322046744e+00	7.933099114e-01
2.332553743e+00	7.940957575e-01
2.343060742e+00	7.947289195e-01
2.353567740e+00	7.951729188e-01
2.364074739e+00	7.954029543e-01
2.374581738e+00	7.954069260e-01
2.385088737e+00	7.951857258e-01
2.395595736e+00	7.947528110e-01
2.406102735e+00	7.941331164e-01
2.416609734e+00	7.933613921e-01
2.427116732e+00	7.924800804e-01
2.437623731e+00	7.915368617e-01
2.448130730e+00	7.905820132e-01
2.458637729e+00	7.896657208e-01
2.469144728e+00	7.888354862e-01
2.479651727e+00	7.881337519e-01
2.490158725e+00	7.875958556e-01
2.500665724e+00	7.872484001e-01
2.511172723e+00	7.871081006e-01
2.521679722e+00	7.871811459e-01
2.532186721e+00	7.874630821e-01
2.542693720e+00	7.879392049e-01
2.553200718e+00	7.885854192e-01
2.563707717e+00	7.893695105e-01
2.574214716e+00	7.902527514e-01
2.584721715e+00	7.911917599e-01
2.595228714e+00	7.921405152e-01
2.605735713e+00	7.930524377e-01
2.616242712e+00	7.938824392e-01
2.626749710e+00	7.945888585e-01
2.637256709e+00	7.951352033e-01
2.647763708e+00	7.954916351e-01
2.658270707e+00	7.956361457e-01
2.668777706e+00	7.955553897e-01
2.679284705e+00	7.952451555e-01
2.689791703e+00	7.947104699e-01
2.700298702e+00	7.939653493e-01
2.710805701e+00	7.930322230e-01
2.721312700e+00	7.919410648e-01
2.731819699e+00	7.907282807e-01
2.742326698e+00	7.894354049e-01
2.752833696e+00	7.881076630e-01
2.763340695e+00	7.867924607e-01
2.773847694e+00	7.855378575e-01
2.784354693e+00	7.843910786e-01
2.794861692e+00	7.833971180e-01
2.805368691e+00	7.825974727e-01
2.815875690e+00	7.820290447e-01
2.826382688e+00	7.817232375e-01
2.836889687e+00	7.817052611e-01
2.847396686e+00	7.819936567e-01
2.857903685e+00	7.826000369e-01
2.868410684e+00	7.835290346e-01
2.878917683e+00	7.847784429e-01
2.889424681e+00	7.863395267e-01
2.899931680e+00	7.881974788e-01
2.910438679e+00	7.903319937e-01
2.920945678e+00	7.927179294e-01
2.931452677e+00	7.953260290e-01
2.941959676e+00	7.981236739e-01
2.952466674e+00	8.010756441e-01
2.962973673e+00	8.041448638e-01
2.973480672e+00	8.072931142e-01
2.983987671e+00	8.104816989e-01
2.994494670e+00	8.136720527e-01
3.005001669e+00	8.168262871e-01
3.015508667e+00	8.199076688e-01
3.026015666e+00	8.228810337e-01
3.036522665e+00	8.257131360e-01
3.047029664e+00	8.283729394e-01
3.057536663e+00	8.308318550e-01
3.068043662e+00	8.330639324e-01
3.078550661e+00	8.350460102e-01
3.089057659e+00	8.367578333e-01
3.099564658e+00	8.381821424e-01
3.110071657e+00	8.393047402e-01
3.120578656e+00	8.401145407e-01
3.131085655e+00	8.406036033e-01
3.141592654e+00	8.407671549e-01
